,Overall Score,Overall Score,Overall Score,Overall Score,Relevance Score,Relevance Score,Relevance Score,Relevance Score,Conciseness Score,Conciseness Score,Conciseness Score,Conciseness Score,Fluency Score,Fluency Score,Fluency Score,Fluency Score,Accuracy Score,Accuracy Score,Accuracy Score,Accuracy Score,Coherence Score,Coherence Score,Coherence Score,Coherence Score
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model_name,,,,,,,,,,,,,,,,,,,,,,,,
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,2.464,0.17999999999999997,2.0,2.8,1.28,0.45825756949558394,1,2,3.04,0.20000000000000004,3,4,3.96,0.20000000000000007,3,4,1.08,0.27688746209726917,1,2,2.96,0.3511884584284246,2,4
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,2.44,0.17320508075688776,1.8,2.8,1.08,0.2768874620972691,1,2,2.96,0.19999999999999996,2,3,3.96,0.19999999999999996,3,4,1.04,0.19999999999999998,1,2,3.16,0.4725815626252608,2,4
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,2.448,0.11944315244779277,2.2,2.8,1.16,0.37416573867739417,1,2,3.04,0.19999999999999996,3,4,3.96,0.19999999999999996,3,4,1.04,0.2,1,2,3.04,0.3511884584284246,2,4
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,2.48,0.23094010767585027,2.2,3.4,1.16,0.37416573867739406,1,2,3.04,0.2,3,4,4.04,0.2,4,5,1.08,0.27688746209726917,1,2,3.08,0.4932882862316248,2,4
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,2.504,0.25897232799406705,1.8,3.0,1.44,0.5066228051190221,1,2,3.12,0.33166247903553997,3,4,3.76,0.5228129047119374,2,4,1.2,0.408248290463863,1,2,3.0,0.5773502691896257,2,4
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,2.432,0.22120880030716086,1.8,3.0,1.2,0.5773502691896257,1,3,3.08,0.2768874620972692,3,4,3.84,0.4725815626252608,2,4,1.08,0.2768874620972691,1,2,2.96,0.3511884584284246,2,4
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,2.4,0.23094010767585038,1.8,3.0,1.28,0.4582575694955841,1,2,3.0,0.0,3,3,3.76,0.5972157622389639,2,4,1.04,0.2,1,2,2.92,0.4932882862316248,2,4
shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,2.48,0.2768874620972692,2.0,3.2,1.4,0.5773502691896257,1,3,3.08,0.27688746209726917,3,4,3.84,0.3741657386773941,3,4,1.2,0.4082482904638631,1,2,2.88,0.33166247903554,2,3
