group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,-0.04,0.9997,-0.2933,0.2133,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,-0.04,0.9997,-0.2933,0.2133,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.0,1.0,-0.2533,0.2533,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.12,0.8317,-0.1333,0.3733,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.0,1.0,-0.2533,0.2533,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,0.9997,-0.2933,0.2133,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.12,0.8317,-0.1333,0.3733,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.0,1.0,-0.2533,0.2533,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.04,0.9997,-0.2133,0.2933,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.16,0.5283,-0.0933,0.4133,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.04,0.9997,-0.2133,0.2933,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.0,1.0,-0.2533,0.2533,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.16,0.5283,-0.0933,0.4133,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.04,0.9997,-0.2133,0.2933,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.16,0.5283,-0.0933,0.4133,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.04,0.9997,-0.2133,0.2933,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.0,1.0,-0.2533,0.2533,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.16,0.5283,-0.0933,0.4133,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.12,0.8317,-0.1333,0.3733,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.0,1.0,-0.2533,0.2533,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,0.9997,-0.2933,0.2133,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.12,0.8317,-0.1333,0.3733,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.12,0.8317,-0.3733,0.1333,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.16,0.5283,-0.4133,0.0933,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.0,1.0,-0.2533,0.2533,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,0.9997,-0.2933,0.2133,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.12,0.8317,-0.1333,0.3733,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.16,0.5283,-0.0933,0.4133,False
