group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,0.2,0.7375,-0.1783,0.5783,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.08,0.9981,-0.2983,0.4583,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.12,0.9778,-0.2583,0.4983,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.04,1.0,-0.3383,0.4183,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.0,1.0,-0.3783,0.3783,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,1.0,-0.4183,0.3383,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.08,0.9981,-0.4583,0.2983,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,-0.12,0.9778,-0.4983,0.2583,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,-0.08,0.9981,-0.4583,0.2983,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,-0.16,0.8993,-0.5383,0.2183,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.2,0.7375,-0.5783,0.1783,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.24,0.5222,-0.6183,0.1383,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.28,0.3165,-0.6583,0.0983,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.04,1.0,-0.3383,0.4183,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,-0.04,1.0,-0.4183,0.3383,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.08,0.9981,-0.4583,0.2983,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.12,0.9778,-0.4983,0.2583,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.16,0.8993,-0.5383,0.2183,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,-0.08,0.9981,-0.4583,0.2983,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.12,0.9778,-0.4983,0.2583,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.16,0.8993,-0.5383,0.2183,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.2,0.7375,-0.5783,0.1783,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.04,1.0,-0.4183,0.3383,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.08,0.9981,-0.4583,0.2983,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.12,0.9778,-0.4983,0.2583,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,1.0,-0.4183,0.3383,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.08,0.9981,-0.4583,0.2983,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.04,1.0,-0.4183,0.3383,False
