group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,-0.08,0.9222,-0.2794,0.1194,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.0,1.0,-0.1994,0.1994,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.0,1.0,-0.1994,0.1994,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.08,0.9222,-0.1194,0.2794,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.04,0.9987,-0.1594,0.2394,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,0.9987,-0.2394,0.1594,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.04,0.9987,-0.1594,0.2394,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.08,0.9222,-0.1194,0.2794,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.08,0.9222,-0.1194,0.2794,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.16,0.2196,-0.0394,0.3594,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.12,0.5907,-0.0794,0.3194,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.04,0.9987,-0.1594,0.2394,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.12,0.5907,-0.0794,0.3194,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.0,1.0,-0.1994,0.1994,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.08,0.9222,-0.1194,0.2794,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.04,0.9987,-0.1594,0.2394,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,0.9987,-0.2394,0.1594,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.04,0.9987,-0.1594,0.2394,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.08,0.9222,-0.1194,0.2794,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.04,0.9987,-0.1594,0.2394,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.04,0.9987,-0.2394,0.1594,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.04,0.9987,-0.1594,0.2394,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.04,0.9987,-0.2394,0.1594,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.12,0.5907,-0.3194,0.0794,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.04,0.9987,-0.2394,0.1594,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.08,0.9222,-0.2794,0.1194,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.0,1.0,-0.1994,0.1994,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.08,0.9222,-0.1194,0.2794,False
