group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,-0.2,0.7881,-0.5996,0.1996,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,-0.12,0.9838,-0.5196,0.2796,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,-0.12,0.9838,-0.5196,0.2796,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.16,0.9229,-0.2396,0.5596,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.08,0.9987,-0.4796,0.3196,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.0,1.0,-0.3996,0.3996,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.12,0.9838,-0.2796,0.5196,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,0.08,0.9987,-0.3196,0.4796,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.08,0.9987,-0.3196,0.4796,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.36,0.1113,-0.0396,0.7596,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.12,0.9838,-0.2796,0.5196,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.2,0.7881,-0.1996,0.5996,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.32,0.2218,-0.0796,0.7196,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,0.0,1.0,-0.3996,0.3996,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.28,0.3886,-0.1196,0.6796,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.04,1.0,-0.3596,0.4396,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.12,0.9838,-0.2796,0.5196,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.24,0.5932,-0.1596,0.6396,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,0.28,0.3886,-0.1196,0.6796,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,0.04,1.0,-0.3596,0.4396,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.12,0.9838,-0.2796,0.5196,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.24,0.5932,-0.1596,0.6396,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,-0.24,0.5932,-0.6396,0.1596,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,-0.16,0.9229,-0.5596,0.2396,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,-0.04,1.0,-0.4396,0.3596,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,0.08,0.9987,-0.3196,0.4796,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.2,0.7881,-0.1996,0.5996,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__Billsum,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__Billsum,0.12,0.9838,-0.2796,0.5196,False
