group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,0.04,1.0,-1.5104,1.5904,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,-0.12,1.0,-1.6704,1.4304,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.24,0.9998,-1.3104,1.7904,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.28,0.9993,-1.8304,1.2704,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.52,0.9697,-1.0304,2.0704,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.56,0.9547,-2.1104,0.9904,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.12,1.0,-1.4304,1.6704,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,-0.16,1.0,-1.7104,1.3904,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.2,0.9999,-1.3504,1.7504,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.32,0.9984,-1.8704,1.2304,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.48,0.9807,-1.0704,2.0304,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.6,0.9351,-2.1504,0.9504,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.08,1.0,-1.4704,1.6304,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.36,0.9966,-1.1904,1.9104,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.16,1.0,-1.7104,1.3904,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.64,0.9105,-0.9104,2.1904,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.44,0.9884,-1.9904,1.1104,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.24,0.9998,-1.3104,1.7904,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.52,0.9697,-2.0704,1.0304,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.28,0.9993,-1.2704,1.8304,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.8,0.7609,-2.3504,0.7504,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.12,1.0,-1.6704,1.4304,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.8,0.7609,-0.7504,2.3504,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.28,0.9993,-1.8304,1.2704,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.4,0.9934,-1.1504,1.9504,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-1.08,0.3965,-2.6304,0.4704,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.4,0.9934,-1.9504,1.1504,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.68,0.8806,-0.8704,2.2304,False
