group1,group2,meandiff,p-adj,lower,upper,reject
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,-0.032,1.0,-1.4937,1.4297,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,-0.088,1.0,-1.5497,1.3737,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.032,1.0,-1.4297,1.4937,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.28,0.999,-1.7417,1.1817,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.304,0.9983,-1.1577,1.7657,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.352,0.9957,-1.8137,1.1097,False
shng2025/GPT-Valkyrie_LN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.008,1.0,-1.4537,1.4697,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,-0.056,1.0,-1.5177,1.4057,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.064,1.0,-1.3977,1.5257,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.248,0.9995,-1.7097,1.2137,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.336,0.9968,-1.1257,1.7977,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.32,0.9976,-1.7817,1.1417,False
shng2025/GPT-Valkyrie_LN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.04,1.0,-1.4217,1.5017,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,0.12,1.0,-1.3417,1.5817,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.192,0.9999,-1.6537,1.2697,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.392,0.9917,-1.0697,1.8537,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.264,0.9993,-1.7257,1.1977,False
shng2025/GPT-Valkyrie_LN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.096,1.0,-1.3657,1.5577,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,-0.312,0.998,-1.7737,1.1497,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.272,0.9992,-1.1897,1.7337,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.384,0.9927,-1.8457,1.0777,False
shng2025/GPT-Valkyrie_LN-124m__noNorm__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.024,1.0,-1.4857,1.4377,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,0.584,0.9238,-0.8777,2.0457,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.072,1.0,-1.5337,1.3897,False
shng2025/GPT-Valkyrie_RMSN-124m__AttnOnly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.288,0.9988,-1.1737,1.7497,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,-0.656,0.8674,-2.1177,0.8057,False
shng2025/GPT-Valkyrie_RMSN-124m__FFNonly__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,-0.296,0.9986,-1.7577,1.1657,False
shng2025/GPT-Valkyrie_RMSN-124m__baseModel__SQuAD,shng2025/GPT-Valkyrie_RMSN-124m__noNorm__SQuAD,0.36,0.9951,-1.1017,1.8217,False
