,Overall Score,Overall Score,Overall Score,Overall Score,Creativity Score,Creativity Score,Creativity Score,Creativity Score,Coherence Score,Coherence Score,Coherence Score,Coherence Score,Fluency Score,Fluency Score,Fluency Score,Fluency Score,Relevance Score,Relevance Score,Relevance Score,Relevance Score,Engagement Score,Engagement Score,Engagement Score,Engagement Score
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
model_name,,,,,,,,,,,,,,,,,,,,,,,,
LN_AttnOnly,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
LN_FFNonly,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
LN_baseModel,2.168,0.5706137047074842,1.4,3.6,2.2,0.49999999999999994,2,4,1.8,0.7071067811865476,1,3,2.52,0.6531972647421808,1,4,2.4,1.0,1,4,1.92,0.6403124237432849,1,4
LN_noNorm,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
RMSN_AttnOnly,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
RMSN_FFNonly,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
RMSN_baseModel,2.1519999999999997,0.5485739087245523,1.4,3.6,2.24,0.5228129047119375,2,4,1.8,0.6454972243679027,1,3,2.68,0.6271629240742261,2,4,2.12,0.9273618495495703,1,4,1.92,0.7023769168568492,1,4
RMSN_noNorm,1.0,0.0,1.0,1.0,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1,1.0,0.0,1,1
