group1,group2,meandiff,p-adj,lower,upper,reject
LN_AttnOnly,LN_FFNonly,0.0,1.0,-0.2217,0.2217,False
LN_AttnOnly,LN_baseModel,1.2,0.0,0.9783,1.4217,True
LN_AttnOnly,LN_noNorm,0.0,1.0,-0.2217,0.2217,False
LN_AttnOnly,RMSN_AttnOnly,0.0,1.0,-0.2217,0.2217,False
LN_AttnOnly,RMSN_FFNonly,0.0,1.0,-0.2217,0.2217,False
LN_AttnOnly,RMSN_baseModel,1.24,0.0,1.0183,1.4617,True
LN_AttnOnly,RMSN_noNorm,0.0,1.0,-0.2217,0.2217,False
LN_FFNonly,LN_baseModel,1.2,0.0,0.9783,1.4217,True
LN_FFNonly,LN_noNorm,0.0,1.0,-0.2217,0.2217,False
LN_FFNonly,RMSN_AttnOnly,0.0,1.0,-0.2217,0.2217,False
LN_FFNonly,RMSN_FFNonly,0.0,1.0,-0.2217,0.2217,False
LN_FFNonly,RMSN_baseModel,1.24,0.0,1.0183,1.4617,True
LN_FFNonly,RMSN_noNorm,0.0,1.0,-0.2217,0.2217,False
LN_baseModel,LN_noNorm,-1.2,0.0,-1.4217,-0.9783,True
LN_baseModel,RMSN_AttnOnly,-1.2,0.0,-1.4217,-0.9783,True
LN_baseModel,RMSN_FFNonly,-1.2,0.0,-1.4217,-0.9783,True
LN_baseModel,RMSN_baseModel,0.04,0.9993,-0.1817,0.2617,False
LN_baseModel,RMSN_noNorm,-1.2,0.0,-1.4217,-0.9783,True
LN_noNorm,RMSN_AttnOnly,0.0,1.0,-0.2217,0.2217,False
LN_noNorm,RMSN_FFNonly,0.0,1.0,-0.2217,0.2217,False
LN_noNorm,RMSN_baseModel,1.24,0.0,1.0183,1.4617,True
LN_noNorm,RMSN_noNorm,0.0,1.0,-0.2217,0.2217,False
RMSN_AttnOnly,RMSN_FFNonly,0.0,1.0,-0.2217,0.2217,False
RMSN_AttnOnly,RMSN_baseModel,1.24,0.0,1.0183,1.4617,True
RMSN_AttnOnly,RMSN_noNorm,0.0,1.0,-0.2217,0.2217,False
RMSN_FFNonly,RMSN_baseModel,1.24,0.0,1.0183,1.4617,True
RMSN_FFNonly,RMSN_noNorm,0.0,1.0,-0.2217,0.2217,False
RMSN_baseModel,RMSN_noNorm,-1.24,0.0,-1.4617,-1.0183,True
