group1,group2,meandiff,p-adj,lower,upper,reject
LN_AttnOnly,LN_FFNonly,0.0,1.0,-0.418,0.418,False
LN_AttnOnly,LN_baseModel,1.4,0.0,0.982,1.818,True
LN_AttnOnly,LN_noNorm,0.0,1.0,-0.418,0.418,False
LN_AttnOnly,RMSN_AttnOnly,0.0,1.0,-0.418,0.418,False
LN_AttnOnly,RMSN_FFNonly,0.0,1.0,-0.418,0.418,False
LN_AttnOnly,RMSN_baseModel,1.12,0.0,0.702,1.538,True
LN_AttnOnly,RMSN_noNorm,0.0,1.0,-0.418,0.418,False
LN_FFNonly,LN_baseModel,1.4,0.0,0.982,1.818,True
LN_FFNonly,LN_noNorm,0.0,1.0,-0.418,0.418,False
LN_FFNonly,RMSN_AttnOnly,0.0,1.0,-0.418,0.418,False
LN_FFNonly,RMSN_FFNonly,0.0,1.0,-0.418,0.418,False
LN_FFNonly,RMSN_baseModel,1.12,0.0,0.702,1.538,True
LN_FFNonly,RMSN_noNorm,0.0,1.0,-0.418,0.418,False
LN_baseModel,LN_noNorm,-1.4,0.0,-1.818,-0.982,True
LN_baseModel,RMSN_AttnOnly,-1.4,0.0,-1.818,-0.982,True
LN_baseModel,RMSN_FFNonly,-1.4,0.0,-1.818,-0.982,True
LN_baseModel,RMSN_baseModel,-0.28,0.4493,-0.698,0.138,False
LN_baseModel,RMSN_noNorm,-1.4,0.0,-1.818,-0.982,True
LN_noNorm,RMSN_AttnOnly,0.0,1.0,-0.418,0.418,False
LN_noNorm,RMSN_FFNonly,0.0,1.0,-0.418,0.418,False
LN_noNorm,RMSN_baseModel,1.12,0.0,0.702,1.538,True
LN_noNorm,RMSN_noNorm,0.0,1.0,-0.418,0.418,False
RMSN_AttnOnly,RMSN_FFNonly,0.0,1.0,-0.418,0.418,False
RMSN_AttnOnly,RMSN_baseModel,1.12,0.0,0.702,1.538,True
RMSN_AttnOnly,RMSN_noNorm,0.0,1.0,-0.418,0.418,False
RMSN_FFNonly,RMSN_baseModel,1.12,0.0,0.702,1.538,True
RMSN_FFNonly,RMSN_noNorm,0.0,1.0,-0.418,0.418,False
RMSN_baseModel,RMSN_noNorm,-1.12,0.0,-1.538,-0.702,True
