"train/global_step","daily-sound-3 - _step","daily-sound-3 - _step__MIN","daily-sound-3 - _step__MAX","daily-sound-3 - train/grad_norm","daily-sound-3 - train/grad_norm__MIN","daily-sound-3 - train/grad_norm__MAX"
"1","0.5","0","1","[""Infinity"",""Infinity""]","",""
"2","2.5","2","3","[""Infinity"",""Infinity""]","",""
"3","4.5","4","5","[""Infinity"",""Infinity""]","",""
"4","6.5","6","7","23.115299224853516","23.115299224853516","23.115299224853516"
"5","8.5","8","9","23.34142303466797","23.34142303466797","23.34142303466797"
"6","10.5","10","11","24.089649200439453","24.089649200439453","24.089649200439453"
"7","12.5","12","13","22.815309524536133","22.815309524536133","22.815309524536133"
"8","14.5","14","15","22.92034912109375","22.92034912109375","22.92034912109375"
"9","16.5","16","17","22.8167724609375","22.8167724609375","22.8167724609375"
"10","18.5","18","19","19.987279891967773","19.987279891967773","19.987279891967773"
"11","20.5","20","21","19.793378829956055","19.793378829956055","19.793378829956055"
"12","22.5","22","23","18.476551055908203","18.476551055908203","18.476551055908203"
"13","24.5","24","25","17.471668243408203","17.471668243408203","17.471668243408203"
"14","26.5","26","27","16.696460723876953","16.696460723876953","16.696460723876953"
"15","28.5","28","29","14.996585845947266","14.996585845947266","14.996585845947266"
"16","30.5","30","31","13.652497291564941","13.652497291564941","13.652497291564941"
"17","32.5","32","33","13.442268371582031","13.442268371582031","13.442268371582031"
"18","34.5","34","35","12.154717445373535","12.154717445373535","12.154717445373535"
"19","36.5","36","37","11.891605377197266","11.891605377197266","11.891605377197266"
"20","38.5","38","39","11.66012954711914","11.66012954711914","11.66012954711914"
"21","40.5","40","41","11.206571578979492","11.206571578979492","11.206571578979492"
"22","42.5","42","43","10.868263244628906","10.868263244628906","10.868263244628906"
"23","44.5","44","45","11.096850395202637","11.096850395202637","11.096850395202637"
"24","46.5","46","47","9.968541145324707","9.968541145324707","9.968541145324707"
"25","48.5","48","49","9.749322891235352","9.749322891235352","9.749322891235352"
"26","50.5","50","51","8.89844799041748","8.89844799041748","8.89844799041748"
"27","52.5","52","53","8.258549690246582","8.258549690246582","8.258549690246582"
"28","54.5","54","55","8.00937271118164","8.00937271118164","8.00937271118164"
"29","56.5","56","57","7.476693153381348","7.476693153381348","7.476693153381348"
"30","58.5","58","59","7.634745121002197","7.634745121002197","7.634745121002197"
"31","60.5","60","61","6.822902202606201","6.822902202606201","6.822902202606201"
"32","62.5","62","63","6.587414741516113","6.587414741516113","6.587414741516113"
"33","64.5","64","65","6.985131740570068","6.985131740570068","6.985131740570068"
"34","66.5","66","67","7.120677471160889","7.120677471160889","7.120677471160889"
"35","68.5","68","69","5.906769275665283","5.906769275665283","5.906769275665283"
"36","70.5","70","71","5.570908069610596","5.570908069610596","5.570908069610596"
"37","72.5","72","73","5.458168983459473","5.458168983459473","5.458168983459473"
"38","74.5","74","75","4.71813440322876","4.71813440322876","4.71813440322876"
"39","76.5","76","77","5.022335529327393","5.022335529327393","5.022335529327393"
"40","78.5","78","79","4.938282012939453","4.938282012939453","4.938282012939453"
"41","80.5","80","81","4.651658058166504","4.651658058166504","4.651658058166504"
"42","82.5","82","83","4.417985439300537","4.417985439300537","4.417985439300537"
"43","84.5","84","85","4.067932605743408","4.067932605743408","4.067932605743408"
"44","86.5","86","87","3.8504340648651123","3.8504340648651123","3.8504340648651123"
"45","88.5","88","89","3.6553313732147217","3.6553313732147217","3.6553313732147217"
"46","90.5","90","91","3.5059456825256348","3.5059456825256348","3.5059456825256348"
"47","92.5","92","93","3.588911533355713","3.588911533355713","3.588911533355713"
"48","94.5","94","95","3.846254825592041","3.846254825592041","3.846254825592041"
"49","96.5","96","97","3.157310724258423","3.157310724258423","3.157310724258423"
"50","98.5","98","99","2.9059009552001953","2.9059009552001953","2.9059009552001953"
"51","100.5","100","101","3.2985293865203857","3.2985293865203857","3.2985293865203857"
"52","102.5","102","103","2.868267059326172","2.868267059326172","2.868267059326172"
"53","104.5","104","105","2.7475385665893555","2.7475385665893555","2.7475385665893555"
"54","106.5","106","107","2.8770956993103027","2.8770956993103027","2.8770956993103027"
"55","108.5","108","109","2.7825918197631836","2.7825918197631836","2.7825918197631836"
"56","110.5","110","111","2.5175719261169434","2.5175719261169434","2.5175719261169434"
"57","112.5","112","113","2.44285249710083","2.44285249710083","2.44285249710083"
"58","114.5","114","115","2.3422131538391113","2.3422131538391113","2.3422131538391113"
"59","116.5","116","117","2.125805377960205","2.125805377960205","2.125805377960205"
"60","118.5","118","119","2.662790536880493","2.662790536880493","2.662790536880493"
"61","120.5","120","121","2.3528213500976562","2.3528213500976562","2.3528213500976562"
"62","122.5","122","123","2.1171553134918213","2.1171553134918213","2.1171553134918213"
"63","124.5","124","125","2.071000814437866","2.071000814437866","2.071000814437866"
"64","126.5","126","127","2.243953227996826","2.243953227996826","2.243953227996826"
"65","128.5","128","129","2.180201768875122","2.180201768875122","2.180201768875122"
"66","130.5","130","131","2.0697786808013916","2.0697786808013916","2.0697786808013916"
"67","132.5","132","133","2.319059371948242","2.319059371948242","2.319059371948242"
"68","134.5","134","135","2.028348922729492","2.028348922729492","2.028348922729492"
"69","136.5","136","137","1.9367932081222534","1.9367932081222534","1.9367932081222534"
"70","138.5","138","139","1.8893587589263916","1.8893587589263916","1.8893587589263916"
"71","140.5","140","141","1.9334908723831177","1.9334908723831177","1.9334908723831177"
"72","142.5","142","143","1.9462543725967407","1.9462543725967407","1.9462543725967407"
"73","144.5","144","145","1.936130166053772","1.936130166053772","1.936130166053772"
"74","146.5","146","147","1.9492045640945435","1.9492045640945435","1.9492045640945435"
"75","148.5","148","149","1.9434281587600708","1.9434281587600708","1.9434281587600708"
"76","150.5","150","151","1.9469588994979858","1.9469588994979858","1.9469588994979858"
"77","152.5","152","153","1.8687430620193481","1.8687430620193481","1.8687430620193481"
"78","154.5","154","155","1.8878272771835327","1.8878272771835327","1.8878272771835327"
"79","156.5","156","157","2.0562756061553955","2.0562756061553955","2.0562756061553955"
"80","158.5","158","159","1.8250759840011597","1.8250759840011597","1.8250759840011597"
"81","160.5","160","161","1.8515630960464478","1.8515630960464478","1.8515630960464478"
"82","162.5","162","163","1.8744808435440063","1.8744808435440063","1.8744808435440063"
"83","164.5","164","165","1.7760376930236816","1.7760376930236816","1.7760376930236816"
"84","166.5","166","167","1.8919199705123901","1.8919199705123901","1.8919199705123901"
"85","168.5","168","169","1.9331668615341187","1.9331668615341187","1.9331668615341187"
"86","170.5","170","171","1.7997782230377197","1.7997782230377197","1.7997782230377197"
"87","172.5","172","173","1.7609373331069946","1.7609373331069946","1.7609373331069946"
"88","174.5","174","175","1.8906103372573853","1.8906103372573853","1.8906103372573853"
"89","176.5","176","177","2.004021644592285","2.004021644592285","2.004021644592285"
"90","178.5","178","179","1.8545730113983154","1.8545730113983154","1.8545730113983154"
"91","180.5","180","181","1.7099369764328003","1.7099369764328003","1.7099369764328003"
"92","182.5","182","183","1.9745501279830933","1.9745501279830933","1.9745501279830933"
"93","184.5","184","185","1.7459579706192017","1.7459579706192017","1.7459579706192017"
"94","186.5","186","187","1.6469695568084717","1.6469695568084717","1.6469695568084717"
"95","188.5","188","189","1.728786587715149","1.728786587715149","1.728786587715149"
"96","190.5","190","191","1.7165205478668213","1.7165205478668213","1.7165205478668213"
"97","192.5","192","193","1.880820631980896","1.880820631980896","1.880820631980896"
"98","194.5","194","195","1.7166978120803833","1.7166978120803833","1.7166978120803833"
"99","196.5","196","197","1.5776405334472656","1.5776405334472656","1.5776405334472656"
"100","198.5","198","199","1.6317262649536133","1.6317262649536133","1.6317262649536133"
"101","200.5","200","201","2.017035484313965","2.017035484313965","2.017035484313965"
"102","202.5","202","203","1.7737445831298828","1.7737445831298828","1.7737445831298828"
