"train/global_step","daily-sound-3 - _step","daily-sound-3 - _step__MIN","daily-sound-3 - _step__MAX","daily-sound-3 - train/loss","daily-sound-3 - train/loss__MIN","daily-sound-3 - train/loss__MAX"
"1","0.5","0","1","5.6871","5.6871","5.6871"
"2","2.5","2","3","5.9006","5.9006","5.9006"
"3","4.5","4","5","5.7211","5.7211","5.7211"
"4","6.5","6","7","5.7101","5.7101","5.7101"
"5","8.5","8","9","5.5584","5.5584","5.5584"
"6","10.5","10","11","5.487","5.487","5.487"
"7","12.5","12","13","5.6665","5.6665","5.6665"
"8","14.5","14","15","5.4956","5.4956","5.4956"
"9","16.5","16","17","5.5355","5.5355","5.5355"
"10","18.5","18","19","5.8199","5.8199","5.8199"
"11","20.5","20","21","5.615","5.615","5.615"
"12","22.5","22","23","5.3736","5.3736","5.3736"
"13","24.5","24","25","5.5327","5.5327","5.5327"
"14","26.5","26","27","5.3021","5.3021","5.3021"
"15","28.5","28","29","5.2916","5.2916","5.2916"
"16","30.5","30","31","5.3144","5.3144","5.3144"
"17","32.5","32","33","5.1298","5.1298","5.1298"
"18","34.5","34","35","5.3827","5.3827","5.3827"
"19","36.5","36","37","5.2364","5.2364","5.2364"
"20","38.5","38","39","5.0111","5.0111","5.0111"
"21","40.5","40","41","5.2278","5.2278","5.2278"
"22","42.5","42","43","4.8578","4.8578","4.8578"
"23","44.5","44","45","4.8378","4.8378","4.8378"
"24","46.5","46","47","4.7481","4.7481","4.7481"
"25","48.5","48","49","4.9007","4.9007","4.9007"
"26","50.5","50","51","4.7311","4.7311","4.7311"
"27","52.5","52","53","4.6208","4.6208","4.6208"
"28","54.5","54","55","4.3939","4.3939","4.3939"
"29","56.5","56","57","4.6116","4.6116","4.6116"
"30","58.5","58","59","4.7434","4.7434","4.7434"
"31","60.5","60","61","4.1888","4.1888","4.1888"
"32","62.5","62","63","4.5663","4.5663","4.5663"
"33","64.5","64","65","4.551","4.551","4.551"
"34","66.5","66","67","4.4357","4.4357","4.4357"
"35","68.5","68","69","4.2239","4.2239","4.2239"
"36","70.5","70","71","4.2199","4.2199","4.2199"
"37","72.5","72","73","4.0028","4.0028","4.0028"
"38","74.5","74","75","4.0533","4.0533","4.0533"
"39","76.5","76","77","4.1333","4.1333","4.1333"
"40","78.5","78","79","4.2225","4.2225","4.2225"
"41","80.5","80","81","3.8903","3.8903","3.8903"
"42","82.5","82","83","4.0944","4.0944","4.0944"
"43","84.5","84","85","3.9728","3.9728","3.9728"
"44","86.5","86","87","3.7519","3.7519","3.7519"
"45","88.5","88","89","3.9071","3.9071","3.9071"
"46","90.5","90","91","3.7916","3.7916","3.7916"
"47","92.5","92","93","3.8349","3.8349","3.8349"
"48","94.5","94","95","3.7704","3.7704","3.7704"
"49","96.5","96","97","3.6031","3.6031","3.6031"
"50","98.5","98","99","3.4858","3.4858","3.4858"
"51","100.5","100","101","3.7909","3.7909","3.7909"
"52","102.5","102","103","3.6778","3.6778","3.6778"
"53","104.5","104","105","3.6605","3.6605","3.6605"
"54","106.5","106","107","3.614","3.614","3.614"
"55","108.5","108","109","3.6129","3.6129","3.6129"
"56","110.5","110","111","3.6264","3.6264","3.6264"
"57","112.5","112","113","3.4604","3.4604","3.4604"
"58","114.5","114","115","3.4968","3.4968","3.4968"
"59","116.5","116","117","3.3874","3.3874","3.3874"
"60","118.5","118","119","3.638","3.638","3.638"
"61","120.5","120","121","3.4274","3.4274","3.4274"
"62","122.5","122","123","3.4394","3.4394","3.4394"
"63","124.5","124","125","3.2764","3.2764","3.2764"
"64","126.5","126","127","3.3007","3.3007","3.3007"
"65","128.5","128","129","3.3528","3.3528","3.3528"
"66","130.5","130","131","3.1774","3.1774","3.1774"
"67","132.5","132","133","3.6508","3.6508","3.6508"
"68","134.5","134","135","3.2251","3.2251","3.2251"
"69","136.5","136","137","3.0014","3.0014","3.0014"
"70","138.5","138","139","3.0511","3.0511","3.0511"
"71","140.5","140","141","3.1241","3.1241","3.1241"
"72","142.5","142","143","3.0316","3.0316","3.0316"
"73","144.5","144","145","3.0761","3.0761","3.0761"
"74","146.5","146","147","3.1691","3.1691","3.1691"
"75","148.5","148","149","3.054","3.054","3.054"
"76","150.5","150","151","3.1084","3.1084","3.1084"
"77","152.5","152","153","2.8685","2.8685","2.8685"
"78","154.5","154","155","3.0358","3.0358","3.0358"
"79","156.5","156","157","3.1348","3.1348","3.1348"
"80","158.5","158","159","2.814","2.814","2.814"
"81","160.5","160","161","2.8206","2.8206","2.8206"
"82","162.5","162","163","2.9831","2.9831","2.9831"
"83","164.5","164","165","2.8072","2.8072","2.8072"
"84","166.5","166","167","2.9524","2.9524","2.9524"
