"Step","copper-serenity-10 - train/loss","copper-serenity-10 - train/loss__MIN","copper-serenity-10 - train/loss__MAX"
"0","6.7512","6.7512","6.7512"
"1","6.7512","6.7512","6.7512"
"2","6.854","6.854","6.854"
"3","6.854","6.854","6.854"
"4","6.7614","6.7614","6.7614"
"5","6.7614","6.7614","6.7614"
"6","6.8147","6.8147","6.8147"
"7","6.8147","6.8147","6.8147"
"8","6.5707","6.5707","6.5707"
"9","6.5707","6.5707","6.5707"
"10","6.6091","6.6091","6.6091"
"11","6.6091","6.6091","6.6091"
"12","6.6192","6.6192","6.6192"
"13","6.6192","6.6192","6.6192"
"14","6.5759","6.5759","6.5759"
"15","6.5759","6.5759","6.5759"
"16","6.5128","6.5128","6.5128"
"17","6.5128","6.5128","6.5128"
"18","6.7155","6.7155","6.7155"
"19","6.7155","6.7155","6.7155"
"20","6.5194","6.5194","6.5194"
"21","6.5194","6.5194","6.5194"
"22","6.2876","6.2876","6.2876"
"23","6.2876","6.2876","6.2876"
"24","6.3421","6.3421","6.3421"
"25","6.3421","6.3421","6.3421"
"26","6.1349","6.1349","6.1349"
"27","6.1349","6.1349","6.1349"
"28","6.1139","6.1139","6.1139"
"29","6.1139","6.1139","6.1139"
"30","6.0381","6.0381","6.0381"
"31","6.0381","6.0381","6.0381"
"32","5.8241","5.8241","5.8241"
"33","5.8241","5.8241","5.8241"
"34","6.0283","6.0283","6.0283"
"35","6.0283","6.0283","6.0283"
"36","5.8449","5.8449","5.8449"
"37","5.8449","5.8449","5.8449"
"38","5.4542","5.4542","5.4542"
"39","5.4542","5.4542","5.4542"
"40","5.7391","5.7391","5.7391"
"41","5.7391","5.7391","5.7391"
"42","5.3489","5.3489","5.3489"
"43","5.3489","5.3489","5.3489"
"44","5.4046","5.4046","5.4046"
"45","5.4046","5.4046","5.4046"
"46","5.3115","5.3115","5.3115"
"47","5.3115","5.3115","5.3115"
"48","5.5322","5.5322","5.5322"
"49","5.5322","5.5322","5.5322"
"50","5.3106","5.3106","5.3106"
"51","5.3106","5.3106","5.3106"
"52","5.1613","5.1613","5.1613"
"53","5.1613","5.1613","5.1613"
"54","4.9621","4.9621","4.9621"
"55","4.9621","4.9621","4.9621"
"56","5.2136","5.2136","5.2136"
"57","5.2136","5.2136","5.2136"
"58","5.3263","5.3263","5.3263"
"59","5.3263","5.3263","5.3263"
"60","4.7481","4.7481","4.7481"
"61","4.7481","4.7481","4.7481"
"62","5.1757","5.1757","5.1757"
"63","5.1757","5.1757","5.1757"
"64","5.1484","5.1484","5.1484"
"65","5.1484","5.1484","5.1484"
"66","5.0262","5.0262","5.0262"
"67","5.0262","5.0262","5.0262"
"68","4.8255","4.8255","4.8255"
"69","4.8255","4.8255","4.8255"
"70","4.8079","4.8079","4.8079"
"71","4.8079","4.8079","4.8079"
"72","4.4747","4.4747","4.4747"
"73","4.4747","4.4747","4.4747"
"74","4.5506","4.5506","4.5506"
"75","4.5506","4.5506","4.5506"
"76","4.6899","4.6899","4.6899"
"77","4.6899","4.6899","4.6899"
"78","4.7622","4.7622","4.7622"
"79","4.7622","4.7622","4.7622"
"80","4.4411","4.4411","4.4411"
"81","4.4411","4.4411","4.4411"
"82","4.6118","4.6118","4.6118"
"83","4.6118","4.6118","4.6118"
"84","4.5145","4.5145","4.5145"
"85","4.5145","4.5145","4.5145"
"86","4.2538","4.2538","4.2538"
"87","4.2538","4.2538","4.2538"
"88","4.4439","4.4439","4.4439"
"89","4.4439","4.4439","4.4439"
"90","4.3405","4.3405","4.3405"
"91","4.3405","4.3405","4.3405"
"92","4.3753","4.3753","4.3753"
"93","4.3753","4.3753","4.3753"
"94","4.3103","4.3103","4.3103"
"95","4.3103","4.3103","4.3103"
"96","4.0873","4.0873","4.0873"
"97","4.0873","4.0873","4.0873"
"98","3.9677","3.9677","3.9677"
"99","3.9677","3.9677","3.9677"
"100","4.3269","4.3269","4.3269"
"101","4.3269","4.3269","4.3269"
"102","4.1955","4.1955","4.1955"
"103","4.1955","4.1955","4.1955"
"104","4.1746","4.1746","4.1746"
"105","4.1746","4.1746","4.1746"
"106","4.1616","4.1616","4.1616"
"107","4.1616","4.1616","4.1616"
"108","4.1112","4.1112","4.1112"
"109","4.1112","4.1112","4.1112"
"110","4.1449","4.1449","4.1449"
"111","4.1449","4.1449","4.1449"
"112","3.9196","3.9196","3.9196"
"113","3.9196","3.9196","3.9196"
"114","3.9951","3.9951","3.9951"
"115","3.9951","3.9951","3.9951"
"116","3.8431","3.8431","3.8431"
"117","3.8431","3.8431","3.8431"
"118","4.1742","4.1742","4.1742"
"119","4.1742","4.1742","4.1742"
"120","3.9013","3.9013","3.9013"
"121","3.9013","3.9013","3.9013"
"122","3.9298","3.9298","3.9298"
"123","3.9298","3.9298","3.9298"
"124","3.753","3.753","3.753"
"125","3.753","3.753","3.753"
"126","3.7651","3.7651","3.7651"
"127","3.7651","3.7651","3.7651"
"128","3.8395","3.8395","3.8395"
"129","3.8395","3.8395","3.8395"
"130","3.6612","3.6612","3.6612"
"131","3.6612","3.6612","3.6612"
"132","4.149","4.149","4.149"
"133","4.149","4.149","4.149"
"134","3.7076","3.7076","3.7076"
"135","3.7076","3.7076","3.7076"
"136","3.4857","3.4857","3.4857"
"137","3.4857","3.4857","3.4857"
"138","3.5301","3.5301","3.5301"
"139","3.5301","3.5301","3.5301"
"140","3.5906","3.5906","3.5906"
"141","3.5906","3.5906","3.5906"
"142","3.492","3.492","3.492"
"143","3.492","3.492","3.492"
"144","3.5302","3.5302","3.5302"
"145","3.5302","3.5302","3.5302"
"146","3.6406","3.6406","3.6406"
"147","3.6406","3.6406","3.6406"
"148","3.5381","3.5381","3.5381"
"149","3.5381","3.5381","3.5381"
"150","3.5783","3.5783","3.5783"
"151","3.5783","3.5783","3.5783"
"152","3.3393","3.3393","3.3393"
"153","3.3393","3.3393","3.3393"
"154","3.5231","3.5231","3.5231"
"155","3.5231","3.5231","3.5231"
"156","3.664","3.664","3.664"
"157","3.664","3.664","3.664"
"158","3.2728","3.2728","3.2728"
"159","3.2728","3.2728","3.2728"
"160","3.2865","3.2865","3.2865"
"161","3.2865","3.2865","3.2865"
"162","3.4867","3.4867","3.4867"
"163","3.4867","3.4867","3.4867"
"164","3.2877","3.2877","3.2877"
"165","3.2877","3.2877","3.2877"
"166","3.4502","3.4502","3.4502"
"167","3.4502","3.4502","3.4502"
"168","3.2109","3.2109","3.2109"
"169","3.2109","3.2109","3.2109"
"170","3.2624","3.2624","3.2624"
"171","3.2624","3.2624","3.2624"
"172","3.2795","3.2795","3.2795"
"173","3.2795","3.2795","3.2795"
"174","3.3563","3.3563","3.3563"
"175","3.3563","3.3563","3.3563"
"176","3.2866","3.2866","3.2866"
"177","3.2866","3.2866","3.2866"
"178","3.3672","3.3672","3.3672"
"179","3.3672","3.3672","3.3672"
"180","3.0918","3.0918","3.0918"
"181","3.0918","3.0918","3.0918"
"182","3.0854","3.0854","3.0854"
"183","3.0854","3.0854","3.0854"
"184","3.1948","3.1948","3.1948"
"185","3.1948","3.1948","3.1948"
"186","2.9934","2.9934","2.9934"
"187","2.9934","2.9934","2.9934"
"188","3.21","3.21","3.21"
"189","3.21","3.21","3.21"
"190","3.1304","3.1304","3.1304"
"191","3.1304","3.1304","3.1304"
"192","3.2065","3.2065","3.2065"
"193","3.2065","3.2065","3.2065"
"194","3.1609","3.1609","3.1609"
"195","3.1609","3.1609","3.1609"
"196","3.1029","3.1029","3.1029"
"197","3.1029","3.1029","3.1029"
"198","3.0911","3.0911","3.0911"
"199","3.0911","3.0911","3.0911"
"200","2.9819","2.9819","2.9819"
"201","2.9819","2.9819","2.9819"
