"train/global_step","vocal-waterfall-4 - _step","vocal-waterfall-4 - _step__MIN","vocal-waterfall-4 - _step__MAX","vocal-waterfall-4 - train/loss","vocal-waterfall-4 - train/loss__MIN","vocal-waterfall-4 - train/loss__MAX"
"1","0.5","0","1","4.7338","4.7338","4.7338"
"2","2.5","2","3","4.9701","4.9701","4.9701"
"3","4.5","4","5","4.8008","4.8008","4.8008"
"4","6.5","6","7","4.7743","4.7743","4.7743"
"5","8.5","8","9","4.6227","4.6227","4.6227"
"6","10.5","10","11","4.5284","4.5284","4.5284"
"7","12.5","12","13","4.7005","4.7005","4.7005"
"8","14.5","14","15","4.574","4.574","4.574"
"9","16.5","16","17","4.5757","4.5757","4.5757"
"10","18.5","18","19","4.8912","4.8912","4.8912"
"11","20.5","20","21","4.7069","4.7069","4.7069"
"12","22.5","22","23","4.5131","4.5131","4.5131"
"13","24.5","24","25","4.6469","4.6469","4.6469"
"14","26.5","26","27","4.4491","4.4491","4.4491"
"15","28.5","28","29","4.4151","4.4151","4.4151"
"16","30.5","30","31","4.4696","4.4696","4.4696"
"17","32.5","32","33","4.3103","4.3103","4.3103"
"18","34.5","34","35","4.5833","4.5833","4.5833"
"19","36.5","36","37","4.4324","4.4324","4.4324"
"20","38.5","38","39","4.2567","4.2567","4.2567"
"21","40.5","40","41","4.4511","4.4511","4.4511"
"22","42.5","42","43","4.0957","4.0957","4.0957"
"23","44.5","44","45","4.0897","4.0897","4.0897"
"24","46.5","46","47","4.0153","4.0153","4.0153"
"25","48.5","48","49","4.1877","4.1877","4.1877"
"26","50.5","50","51","4.0415","4.0415","4.0415"
"27","52.5","52","53","3.9416","3.9416","3.9416"
"28","54.5","54","55","3.8433","3.8433","3.8433"
"29","56.5","56","57","4.002","4.002","4.002"
"30","58.5","58","59","4.1574","4.1574","4.1574"
"31","60.5","60","61","3.6607","3.6607","3.6607"
"32","62.5","62","63","4.0344","4.0344","4.0344"
"33","64.5","64","65","4","4","4"
"34","66.5","66","67","3.8909","3.8909","3.8909"
"35","68.5","68","69","3.7819","3.7819","3.7819"
"36","70.5","70","71","3.7086","3.7086","3.7086"
"37","72.5","72","73","3.5609","3.5609","3.5609"
"38","74.5","74","75","3.5865","3.5865","3.5865"
"39","76.5","76","77","3.6866","3.6866","3.6866"
"40","78.5","78","79","3.8032","3.8032","3.8032"
"41","80.5","80","81","3.5351","3.5351","3.5351"
"42","82.5","82","83","3.6888","3.6888","3.6888"
"43","84.5","84","85","3.6171","3.6171","3.6171"
"44","86.5","86","87","3.4005","3.4005","3.4005"
"45","88.5","88","89","3.5706","3.5706","3.5706"
"46","90.5","90","91","3.4775","3.4775","3.4775"
"47","92.5","92","93","3.5169","3.5169","3.5169"
"48","94.5","94","95","3.4671","3.4671","3.4671"
"49","96.5","96","97","3.2825","3.2825","3.2825"
"50","98.5","98","99","3.2216","3.2216","3.2216"
"51","100.5","100","101","3.4966","3.4966","3.4966"
"52","102.5","102","103","3.4008","3.4008","3.4008"
"53","104.5","104","105","3.3941","3.3941","3.3941"
"54","106.5","106","107","3.3254","3.3254","3.3254"
"55","108.5","108","109","3.356","3.356","3.356"
"56","110.5","110","111","3.3927","3.3927","3.3927"
"57","112.5","112","113","3.2159","3.2159","3.2159"
"58","114.5","114","115","3.2676","3.2676","3.2676"
"59","116.5","116","117","3.1584","3.1584","3.1584"
"60","118.5","118","119","3.3903","3.3903","3.3903"
"61","120.5","120","121","3.169","3.169","3.169"
"62","122.5","122","123","3.2472","3.2472","3.2472"
"63","124.5","124","125","3.0589","3.0589","3.0589"
"64","126.5","126","127","3.0874","3.0874","3.0874"
"65","128.5","128","129","3.1535","3.1535","3.1535"
"66","130.5","130","131","2.9623","2.9623","2.9623"
"67","132.5","132","133","3.433","3.433","3.433"
"68","134.5","134","135","3.0435","3.0435","3.0435"
"69","136.5","136","137","2.8185","2.8185","2.8185"
"70","138.5","138","139","2.8838","2.8838","2.8838"
"71","140.5","140","141","2.9424","2.9424","2.9424"
"72","142.5","142","143","2.8485","2.8485","2.8485"
"73","144.5","144","145","2.9004","2.9004","2.9004"
"74","146.5","146","147","2.9739","2.9739","2.9739"
"75","148.5","148","149","2.8828","2.8828","2.8828"
"76","150.5","150","151","2.9549","2.9549","2.9549"
"77","152.5","152","153","2.7306","2.7306","2.7306"
"78","154.5","154","155","2.8672","2.8672","2.8672"
"79","156.5","156","157","2.9949","2.9949","2.9949"
"80","158.5","158","159","2.6901","2.6901","2.6901"
"81","160.5","160","161","2.6777","2.6777","2.6777"
"82","162.5","162","163","2.8503","2.8503","2.8503"
"83","164.5","164","165","2.7061","2.7061","2.7061"
"84","166.5","166","167","2.8163","2.8163","2.8163"
"85","168.5","168","169","2.6081","2.6081","2.6081"
"86","170.5","170","171","2.6482","2.6482","2.6482"
"87","172.5","172","173","2.6915","2.6915","2.6915"
"88","174.5","174","175","2.7377","2.7377","2.7377"
"89","176.5","176","177","2.6567","2.6567","2.6567"
"90","178.5","178","179","2.7623","2.7623","2.7623"
"91","180.5","180","181","2.5036","2.5036","2.5036"
"92","182.5","182","183","2.495","2.495","2.495"
"93","184.5","184","185","2.6021","2.6021","2.6021"
"94","186.5","186","187","2.4331","2.4331","2.4331"
"95","188.5","188","189","2.6239","2.6239","2.6239"
"96","190.5","190","191","2.5727","2.5727","2.5727"
"97","192.5","192","193","2.6303","2.6303","2.6303"
"98","194.5","194","195","2.5752","2.5752","2.5752"
"99","196.5","196","197","2.55","2.55","2.55"
"100","198.5","198","199","2.5552","2.5552","2.5552"
"101","200.5","200","201","2.4211","2.4211","2.4211"
"102","202.5","202","203","2.5212","2.5212","2.5212"
"103","204.5","204","205","2.5932","2.5932","2.5932"
"104","206.5","206","207","2.5184","2.5184","2.5184"
"105","208.5","208","209","2.3824","2.3824","2.3824"
"106","210.5","210","211","2.4189","2.4189","2.4189"
"107","212.5","212","213","2.567","2.567","2.567"
"108","214.5","214","215","2.6246","2.6246","2.6246"
"109","216.5","216","217","2.3721","2.3721","2.3721"
"110","218.5","218","219","2.3861","2.3861","2.3861"
"111","220.5","220","221","2.4924","2.4924","2.4924"
"112","222.5","222","223","2.3596","2.3596","2.3596"
"113","224.5","224","225","2.1971","2.1971","2.1971"
"114","226.5","226","227","2.3874","2.3874","2.3874"
"115","228.5","228","229","2.46","2.46","2.46"
"116","230.5","230","231","2.1282","2.1282","2.1282"
"117","232.5","232","233","2.3231","2.3231","2.3231"
"118","234.5","234","235","2.3434","2.3434","2.3434"
"119","236.5","236","237","2.2729","2.2729","2.2729"
"120","238.5","238","239","2.4766","2.4766","2.4766"
"121","240.5","240","241","2.2365","2.2365","2.2365"
"122","242.5","242","243","2.3394","2.3394","2.3394"
"123","244.5","244","245","2.2025","2.2025","2.2025"
"124","246.5","246","247","2.3219","2.3219","2.3219"
"125","248.5","248","249","2.3465","2.3465","2.3465"
"126","250.5","250","251","2.1674","2.1674","2.1674"
"127","252.5","252","253","2.0682","2.0682","2.0682"
"128","254.5","254","255","2.1397","2.1397","2.1397"
