"train/global_step","wise-bush-3 - _step","wise-bush-3 - _step__MIN","wise-bush-3 - _step__MAX","wise-bush-3 - train/grad_norm","wise-bush-3 - train/grad_norm__MIN","wise-bush-3 - train/grad_norm__MAX"
"1","0.5","0","1","[""NaN"",""NaN""]","",""
"2","2.5","2","3","[""Infinity"",""Infinity""]","",""
"3","4.5","4","5","[""Infinity"",""Infinity""]","",""
"4","6.5","6","7","32.515079498291016","32.515079498291016","32.515079498291016"
"5","8.5","8","9","32.378517150878906","32.378517150878906","32.378517150878906"
"6","10.5","10","11","32.76997375488281","32.76997375488281","32.76997375488281"
"7","12.5","12","13","30.554140090942383","30.554140090942383","30.554140090942383"
"8","14.5","14","15","31.637828826904297","31.637828826904297","31.637828826904297"
"9","16.5","16","17","30.03497314453125","30.03497314453125","30.03497314453125"
"10","18.5","18","19","26.390600204467773","26.390600204467773","26.390600204467773"
"11","20.5","20","21","25.825695037841797","25.825695037841797","25.825695037841797"
"12","22.5","22","23","23.570056915283203","23.570056915283203","23.570056915283203"
"13","24.5","24","25","23.003633499145508","23.003633499145508","23.003633499145508"
"14","26.5","26","27","23.16059112548828","23.16059112548828","23.16059112548828"
"15","28.5","28","29","16.794126510620117","16.794126510620117","16.794126510620117"
"16","30.5","30","31","13.89742660522461","13.89742660522461","13.89742660522461"
"17","32.5","32","33","13.897418975830078","13.897418975830078","13.897418975830078"
"18","34.5","34","35","12.443681716918945","12.443681716918945","12.443681716918945"
"19","36.5","36","37","12.410735130310059","12.410735130310059","12.410735130310059"
"20","38.5","38","39","14.615314483642578","14.615314483642578","14.615314483642578"
"21","40.5","40","41","13.020377159118652","13.020377159118652","13.020377159118652"
"22","42.5","42","43","14.950809478759766","14.950809478759766","14.950809478759766"
"23","44.5","44","45","14.253527641296387","14.253527641296387","14.253527641296387"
"24","46.5","46","47","12.866808891296387","12.866808891296387","12.866808891296387"
"25","48.5","48","49","13.375953674316406","13.375953674316406","13.375953674316406"
"26","50.5","50","51","9.515618324279785","9.515618324279785","9.515618324279785"
"27","52.5","52","53","8.792370796203613","8.792370796203613","8.792370796203613"
"28","54.5","54","55","8.884950637817383","8.884950637817383","8.884950637817383"
"29","56.5","56","57","8.800915718078613","8.800915718078613","8.800915718078613"
"30","58.5","58","59","10.137616157531738","10.137616157531738","10.137616157531738"
"31","60.5","60","61","8.303354263305664","8.303354263305664","8.303354263305664"
"32","62.5","62","63","8.324780464172363","8.324780464172363","8.324780464172363"
"33","64.5","64","65","7.731475830078125","7.731475830078125","7.731475830078125"
"34","66.5","66","67","6.264007568359375","6.264007568359375","6.264007568359375"
"35","68.5","68","69","5.3266730308532715","5.3266730308532715","5.3266730308532715"
"36","70.5","70","71","5.256952285766602","5.256952285766602","5.256952285766602"
"37","72.5","72","73","5.03228235244751","5.03228235244751","5.03228235244751"
"38","74.5","74","75","5.893340587615967","5.893340587615967","5.893340587615967"
"39","76.5","76","77","5.06951904296875","5.06951904296875","5.06951904296875"
"40","78.5","78","79","5.447843074798584","5.447843074798584","5.447843074798584"
"41","80.5","80","81","4.50751256942749","4.50751256942749","4.50751256942749"
"42","82.5","82","83","4.321002006530762","4.321002006530762","4.321002006530762"
"43","84.5","84","85","4.389770030975342","4.389770030975342","4.389770030975342"
"44","86.5","86","87","3.94458270072937","3.94458270072937","3.94458270072937"
"45","88.5","88","89","4.023971080780029","4.023971080780029","4.023971080780029"
"46","90.5","90","91","3.7940847873687744","3.7940847873687744","3.7940847873687744"
"47","92.5","92","93","3.7149715423583984","3.7149715423583984","3.7149715423583984"
"48","94.5","94","95","3.534418821334839","3.534418821334839","3.534418821334839"
"49","96.5","96","97","3.0348093509674072","3.0348093509674072","3.0348093509674072"
"50","98.5","98","99","3.0192809104919434","3.0192809104919434","3.0192809104919434"
"51","100.5","100","101","3.2701737880706787","3.2701737880706787","3.2701737880706787"
"52","102.5","102","103","3.0650522708892822","3.0650522708892822","3.0650522708892822"
"53","104.5","104","105","3.137563467025757","3.137563467025757","3.137563467025757"
"54","106.5","106","107","3.391674518585205","3.391674518585205","3.391674518585205"
"55","108.5","108","109","3.3593204021453857","3.3593204021453857","3.3593204021453857"
"56","110.5","110","111","2.9681899547576904","2.9681899547576904","2.9681899547576904"
"57","112.5","112","113","3.0397260189056396","3.0397260189056396","3.0397260189056396"
"58","114.5","114","115","3.0658416748046875","3.0658416748046875","3.0658416748046875"
"59","116.5","116","117","2.3713834285736084","2.3713834285736084","2.3713834285736084"
"60","118.5","118","119","3.551335334777832","3.551335334777832","3.551335334777832"
"61","120.5","120","121","3.0903356075286865","3.0903356075286865","3.0903356075286865"
"62","122.5","122","123","2.5946922302246094","2.5946922302246094","2.5946922302246094"
"63","124.5","124","125","2.286034107208252","2.286034107208252","2.286034107208252"
"64","126.5","126","127","2.4018664360046387","2.4018664360046387","2.4018664360046387"
"65","128.5","128","129","2.2243871688842773","2.2243871688842773","2.2243871688842773"
"66","130.5","130","131","2.2096641063690186","2.2096641063690186","2.2096641063690186"
"67","132.5","132","133","2.4858529567718506","2.4858529567718506","2.4858529567718506"
"68","134.5","134","135","2.166006088256836","2.166006088256836","2.166006088256836"
"69","136.5","136","137","2.207016706466675","2.207016706466675","2.207016706466675"
"70","138.5","138","139","2.3284618854522705","2.3284618854522705","2.3284618854522705"
"71","140.5","140","141","2.424980878829956","2.424980878829956","2.424980878829956"
"72","142.5","142","143","2.0538296699523926","2.0538296699523926","2.0538296699523926"
"73","144.5","144","145","2.5108203887939453","2.5108203887939453","2.5108203887939453"
"74","146.5","146","147","2.394557237625122","2.394557237625122","2.394557237625122"
"75","148.5","148","149","2.195934534072876","2.195934534072876","2.195934534072876"
"76","150.5","150","151","2.6414196491241455","2.6414196491241455","2.6414196491241455"
"77","152.5","152","153","2.4075491428375244","2.4075491428375244","2.4075491428375244"
"78","154.5","154","155","2.282949924468994","2.282949924468994","2.282949924468994"
"79","156.5","156","157","3.0087990760803223","3.0087990760803223","3.0087990760803223"
"80","158.5","158","159","2.211425542831421","2.211425542831421","2.211425542831421"
"81","160.5","160","161","2.2613556385040283","2.2613556385040283","2.2613556385040283"
"82","162.5","162","163","2.628706932067871","2.628706932067871","2.628706932067871"
"83","164.5","164","165","2.2661595344543457","2.2661595344543457","2.2661595344543457"
"84","166.5","166","167","2.330484628677368","2.330484628677368","2.330484628677368"
"85","168.5","168","169","2.5059287548065186","2.5059287548065186","2.5059287548065186"
"86","170.5","170","171","2.071765184402466","2.071765184402466","2.071765184402466"
"87","172.5","172","173","2.4565436840057373","2.4565436840057373","2.4565436840057373"
"88","174.5","174","175","2.8357274532318115","2.8357274532318115","2.8357274532318115"
"89","176.5","176","177","2.299837112426758","2.299837112426758","2.299837112426758"
"90","178.5","178","179","2.5398032665252686","2.5398032665252686","2.5398032665252686"
"91","180.5","180","181","2.790210008621216","2.790210008621216","2.790210008621216"
"92","182.5","182","183","2.6303036212921143","2.6303036212921143","2.6303036212921143"
"93","184.5","184","185","1.8975861072540283","1.8975861072540283","1.8975861072540283"
"94","186.5","186","187","2.7246344089508057","2.7246344089508057","2.7246344089508057"
"95","188.5","188","189","2.6401612758636475","2.6401612758636475","2.6401612758636475"
"96","190.5","190","191","2.12412691116333","2.12412691116333","2.12412691116333"
"97","192.5","192","193","2.6420559883117676","2.6420559883117676","2.6420559883117676"
"98","194.5","194","195","1.976302981376648","1.976302981376648","1.976302981376648"
"99","196.5","196","197","2.1302292346954346","2.1302292346954346","2.1302292346954346"
"100","198.5","198","199","1.9970554113388062","1.9970554113388062","1.9970554113388062"
"101","200.5","200","201","1.9357819557189941","1.9357819557189941","1.9357819557189941"
"102","202.5","202","203","2.08735728263855","2.08735728263855","2.08735728263855"
"103","204.5","204","205","2.1061513423919678","2.1061513423919678","2.1061513423919678"
"104","206.5","206","207","1.977056860923767","1.977056860923767","1.977056860923767"
"105","208.5","208","209","2.0083494186401367","2.0083494186401367","2.0083494186401367"
"106","210.5","210","211","2.0712523460388184","2.0712523460388184","2.0712523460388184"
