"train/global_step","wise-bush-3 - _step","wise-bush-3 - _step__MIN","wise-bush-3 - _step__MAX","wise-bush-3 - train/loss","wise-bush-3 - train/loss__MIN","wise-bush-3 - train/loss__MAX"
"1","0.5","0","1","5.8504","5.8504","5.8504"
"2","2.5","2","3","6.1291","6.1291","6.1291"
"3","4.5","4","5","5.9431","5.9431","5.9431"
"4","6.5","6","7","5.9935","5.9935","5.9935"
"5","8.5","8","9","5.7859","5.7859","5.7859"
"6","10.5","10","11","5.6851","5.6851","5.6851"
"7","12.5","12","13","5.8637","5.8637","5.8637"
"8","14.5","14","15","5.6625","5.6625","5.6625"
"9","16.5","16","17","5.7125","5.7125","5.7125"
"10","18.5","18","19","5.9782","5.9782","5.9782"
"11","20.5","20","21","5.7818","5.7818","5.7818"
"12","22.5","22","23","5.482","5.482","5.482"
"13","24.5","24","25","5.6783","5.6783","5.6783"
"14","26.5","26","27","5.4242","5.4242","5.4242"
"15","28.5","28","29","5.356","5.356","5.356"
"16","30.5","30","31","5.392","5.392","5.392"
"17","32.5","32","33","5.2384","5.2384","5.2384"
"18","34.5","34","35","5.609","5.609","5.609"
"19","36.5","36","37","5.3871","5.3871","5.3871"
"20","38.5","38","39","5.1524","5.1524","5.1524"
"21","40.5","40","41","5.3964","5.3964","5.3964"
"22","42.5","42","43","5.0321","5.0321","5.0321"
"23","44.5","44","45","4.9745","4.9745","4.9745"
"24","46.5","46","47","4.8951","4.8951","4.8951"
"25","48.5","48","49","5.0731","5.0731","5.0731"
"26","50.5","50","51","4.8575","4.8575","4.8575"
"27","52.5","52","53","4.7437","4.7437","4.7437"
"28","54.5","54","55","4.5658","4.5658","4.5658"
"29","56.5","56","57","4.7905","4.7905","4.7905"
"30","58.5","58","59","4.9394","4.9394","4.9394"
"31","60.5","60","61","4.3438","4.3438","4.3438"
"32","62.5","62","63","4.7496","4.7496","4.7496"
"33","64.5","64","65","4.7393","4.7393","4.7393"
"34","66.5","66","67","4.6217","4.6217","4.6217"
"35","68.5","68","69","4.4347","4.4347","4.4347"
"36","70.5","70","71","4.3934","4.3934","4.3934"
"37","72.5","72","73","4.1498","4.1498","4.1498"
"38","74.5","74","75","4.2476","4.2476","4.2476"
"39","76.5","76","77","4.3742","4.3742","4.3742"
"40","78.5","78","79","4.4783","4.4783","4.4783"
"41","80.5","80","81","4.1166","4.1166","4.1166"
"42","82.5","82","83","4.2951","4.2951","4.2951"
"43","84.5","84","85","4.2183","4.2183","4.2183"
"44","86.5","86","87","3.9858","3.9858","3.9858"
"45","88.5","88","89","4.1882","4.1882","4.1882"
"46","90.5","90","91","4.0561","4.0561","4.0561"
"47","92.5","92","93","4.1208","4.1208","4.1208"
"48","94.5","94","95","4.0421","4.0421","4.0421"
"49","96.5","96","97","3.8578","3.8578","3.8578"
"50","98.5","98","99","3.7725","3.7725","3.7725"
"51","100.5","100","101","4.1002","4.1002","4.1002"
"52","102.5","102","103","3.9915","3.9915","3.9915"
"53","104.5","104","105","3.9945","3.9945","3.9945"
"54","106.5","106","107","3.935","3.935","3.935"
"55","108.5","108","109","3.9336","3.9336","3.9336"
"56","110.5","110","111","3.9473","3.9473","3.9473"
"57","112.5","112","113","3.7881","3.7881","3.7881"
"58","114.5","114","115","3.8425","3.8425","3.8425"
"59","116.5","116","117","3.6831","3.6831","3.6831"
"60","118.5","118","119","3.9874","3.9874","3.9874"
"61","120.5","120","121","3.7319","3.7319","3.7319"
"62","122.5","122","123","3.7962","3.7962","3.7962"
"63","124.5","124","125","3.6125","3.6125","3.6125"
"64","126.5","126","127","3.6547","3.6547","3.6547"
"65","128.5","128","129","3.7171","3.7171","3.7171"
"66","130.5","130","131","3.5298","3.5298","3.5298"
"67","132.5","132","133","4.0376","4.0376","4.0376"
"68","134.5","134","135","3.589","3.589","3.589"
"69","136.5","136","137","3.377","3.377","3.377"
"70","138.5","138","139","3.4267","3.4267","3.4267"
"71","140.5","140","141","3.4824","3.4824","3.4824"
"72","142.5","142","143","3.4006","3.4006","3.4006"
"73","144.5","144","145","3.4423","3.4423","3.4423"
"74","146.5","146","147","3.5542","3.5542","3.5542"
"75","148.5","148","149","3.4328","3.4328","3.4328"
"76","150.5","150","151","3.4916","3.4916","3.4916"
"77","152.5","152","153","3.2659","3.2659","3.2659"
"78","154.5","154","155","3.4467","3.4467","3.4467"
"79","156.5","156","157","3.5725","3.5725","3.5725"
"80","158.5","158","159","3.2029","3.2029","3.2029"
"81","160.5","160","161","3.2192","3.2192","3.2192"
"82","162.5","162","163","3.4011","3.4011","3.4011"
"83","164.5","164","165","3.2281","3.2281","3.2281"
"84","166.5","166","167","3.3542","3.3542","3.3542"
"85","168.5","168","169","3.1571","3.1571","3.1571"
"86","170.5","170","171","3.2156","3.2156","3.2156"
"87","172.5","172","173","3.2271","3.2271","3.2271"
"88","174.5","174","175","3.3183","3.3183","3.3183"
"89","176.5","176","177","3.2586","3.2586","3.2586"
"90","178.5","178","179","3.3191","3.3191","3.3191"
"91","180.5","180","181","3.0568","3.0568","3.0568"
"92","182.5","182","183","3.0619","3.0619","3.0619"
"93","184.5","184","185","3.1394","3.1394","3.1394"
"94","186.5","186","187","2.9484","2.9484","2.9484"
"95","188.5","188","189","3.1722","3.1722","3.1722"
"96","190.5","190","191","3.1205","3.1205","3.1205"
"97","192.5","192","193","3.2056","3.2056","3.2056"
"98","194.5","194","195","3.1418","3.1418","3.1418"
"99","196.5","196","197","3.0948","3.0948","3.0948"
"100","198.5","198","199","3.0873","3.0873","3.0873"
"101","200.5","200","201","2.9703","2.9703","2.9703"
"102","202.5","202","203","3.1139","3.1139","3.1139"
"103","204.5","204","205","3.139","3.139","3.139"
"104","206.5","206","207","3.0583","3.0583","3.0583"
"105","208.5","208","209","2.9058","2.9058","2.9058"
"106","210.5","210","211","2.9732","2.9732","2.9732"
"107","212.5","212","213","3.1122","3.1122","3.1122"
"108","214.5","214","215","3.1984","3.1984","3.1984"
"109","216.5","216","217","2.8746","2.8746","2.8746"
"110","218.5","218","219","2.905","2.905","2.905"
"111","220.5","220","221","3.0666","3.0666","3.0666"
"112","222.5","222","223","2.8748","2.8748","2.8748"
"113","224.5","224","225","2.6708","2.6708","2.6708"
"114","226.5","226","227","2.8943","2.8943","2.8943"
"115","228.5","228","229","2.9476","2.9476","2.9476"
"116","230.5","230","231","2.5712","2.5712","2.5712"
"117","232.5","232","233","2.8087","2.8087","2.8087"
