"train/global_step","electric-cosmos-4 - _step","electric-cosmos-4 - _step__MIN","electric-cosmos-4 - _step__MAX","electric-cosmos-4 - train/grad_norm","electric-cosmos-4 - train/grad_norm__MIN","electric-cosmos-4 - train/grad_norm__MAX"
"1","0.5","0","1","[""Infinity"",""Infinity""]","",""
"2","2.5","2","3","[""Infinity"",""Infinity""]","",""
"3","4.5","4","5","[""Infinity"",""Infinity""]","",""
"4","6.5","6","7","42.45162582397461","42.45162582397461","42.45162582397461"
"5","8.5","8","9","43.86930847167969","43.86930847167969","43.86930847167969"
"6","10.5","10","11","45.344688415527344","45.344688415527344","45.344688415527344"
"7","12.5","12","13","40.502166748046875","40.502166748046875","40.502166748046875"
"8","14.5","14","15","42.55305099487305","42.55305099487305","42.55305099487305"
"9","16.5","16","17","44.13137435913086","44.13137435913086","44.13137435913086"
"10","18.5","18","19","37.02447509765625","37.02447509765625","37.02447509765625"
"11","20.5","20","21","38.36408615112305","38.36408615112305","38.36408615112305"
"12","22.5","22","23","37.379722595214844","37.379722595214844","37.379722595214844"
"13","24.5","24","25","35.36619567871094","35.36619567871094","35.36619567871094"
"14","26.5","26","27","36.64210510253906","36.64210510253906","36.64210510253906"
"15","28.5","28","29","33.01102828979492","33.01102828979492","33.01102828979492"
"16","30.5","30","31","31.16537094116211","31.16537094116211","31.16537094116211"
"17","32.5","32","33","30.734092712402344","30.734092712402344","30.734092712402344"
"18","34.5","34","35","23.580503463745117","23.580503463745117","23.580503463745117"
"19","36.5","36","37","24.62836456298828","24.62836456298828","24.62836456298828"
"20","38.5","38","39","23.008441925048828","23.008441925048828","23.008441925048828"
"21","40.5","40","41","18.73945426940918","18.73945426940918","18.73945426940918"
"22","42.5","42","43","18.131893157958984","18.131893157958984","18.131893157958984"
"23","44.5","44","45","16.863750457763672","16.863750457763672","16.863750457763672"
"24","46.5","46","47","15.021474838256836","15.021474838256836","15.021474838256836"
"25","48.5","48","49","14.599471092224121","14.599471092224121","14.599471092224121"
"26","50.5","50","51","12.09248161315918","12.09248161315918","12.09248161315918"
"27","52.5","52","53","10.862466812133789","10.862466812133789","10.862466812133789"
"28","54.5","54","55","9.693710327148438","9.693710327148438","9.693710327148438"
"29","56.5","56","57","9.656901359558105","9.656901359558105","9.656901359558105"
"30","58.5","58","59","9.80496597290039","9.80496597290039","9.80496597290039"
"31","60.5","60","61","8.654696464538574","8.654696464538574","8.654696464538574"
"32","62.5","62","63","9.03233528137207","9.03233528137207","9.03233528137207"
"33","64.5","64","65","8.661827087402344","8.661827087402344","8.661827087402344"
"34","66.5","66","67","8.029023170471191","8.029023170471191","8.029023170471191"
"35","68.5","68","69","6.546172142028809","6.546172142028809","6.546172142028809"
"36","70.5","70","71","6.733743190765381","6.733743190765381","6.733743190765381"
"37","72.5","72","73","6.688605308532715","6.688605308532715","6.688605308532715"
"38","74.5","74","75","5.299766540527344","5.299766540527344","5.299766540527344"
"39","76.5","76","77","5.8189520835876465","5.8189520835876465","5.8189520835876465"
"40","78.5","78","79","5.050731182098389","5.050731182098389","5.050731182098389"
"41","80.5","80","81","4.692681312561035","4.692681312561035","4.692681312561035"
"42","82.5","82","83","4.518586158752441","4.518586158752441","4.518586158752441"
"43","84.5","84","85","4.3378071784973145","4.3378071784973145","4.3378071784973145"
"44","86.5","86","87","3.9770586490631104","3.9770586490631104","3.9770586490631104"
"45","88.5","88","89","4.451895713806152","4.451895713806152","4.451895713806152"
"46","90.5","90","91","4.1042585372924805","4.1042585372924805","4.1042585372924805"
"47","92.5","92","93","3.584083080291748","3.584083080291748","3.584083080291748"
"48","94.5","94","95","3.3731698989868164","3.3731698989868164","3.3731698989868164"
"49","96.5","96","97","3.266780138015747","3.266780138015747","3.266780138015747"
"50","98.5","98","99","3.2827439308166504","3.2827439308166504","3.2827439308166504"
"51","100.5","100","101","3.1792848110198975","3.1792848110198975","3.1792848110198975"
"52","102.5","102","103","3.336700916290283","3.336700916290283","3.336700916290283"
"53","104.5","104","105","3.169355869293213","3.169355869293213","3.169355869293213"
"54","106.5","106","107","3.318131923675537","3.318131923675537","3.318131923675537"
"55","108.5","108","109","3.296377420425415","3.296377420425415","3.296377420425415"
"56","110.5","110","111","3.4225263595581055","3.4225263595581055","3.4225263595581055"
"57","112.5","112","113","3.365846633911133","3.365846633911133","3.365846633911133"
"58","114.5","114","115","2.7268993854522705","2.7268993854522705","2.7268993854522705"
"59","116.5","116","117","2.896738052368164","2.896738052368164","2.896738052368164"
"60","118.5","118","119","3.7546558380126953","3.7546558380126953","3.7546558380126953"
"61","120.5","120","121","2.688141107559204","2.688141107559204","2.688141107559204"
"62","122.5","122","123","3.2282049655914307","3.2282049655914307","3.2282049655914307"
"63","124.5","124","125","2.9686179161071777","2.9686179161071777","2.9686179161071777"
"64","126.5","126","127","2.472208023071289","2.472208023071289","2.472208023071289"
"65","128.5","128","129","2.182124614715576","2.182124614715576","2.182124614715576"
"66","130.5","130","131","2.1054906845092773","2.1054906845092773","2.1054906845092773"
"67","132.5","132","133","2.40729022026062","2.40729022026062","2.40729022026062"
"68","134.5","134","135","2.364654302597046","2.364654302597046","2.364654302597046"
"69","136.5","136","137","2.1469695568084717","2.1469695568084717","2.1469695568084717"
"70","138.5","138","139","2.065509796142578","2.065509796142578","2.065509796142578"
"71","140.5","140","141","2.237373113632202","2.237373113632202","2.237373113632202"
"72","142.5","142","143","1.8877553939819336","1.8877553939819336","1.8877553939819336"
"73","144.5","144","145","2.2108452320098877","2.2108452320098877","2.2108452320098877"
"74","146.5","146","147","2.0880231857299805","2.0880231857299805","2.0880231857299805"
"75","148.5","148","149","2.1903514862060547","2.1903514862060547","2.1903514862060547"
"76","150.5","150","151","2.3414130210876465","2.3414130210876465","2.3414130210876465"
"77","152.5","152","153","1.831639051437378","1.831639051437378","1.831639051437378"
"78","154.5","154","155","2.1809356212615967","2.1809356212615967","2.1809356212615967"
"79","156.5","156","157","2.543109178543091","2.543109178543091","2.543109178543091"
"80","158.5","158","159","1.8806668519973755","1.8806668519973755","1.8806668519973755"
"81","160.5","160","161","2.7411022186279297","2.7411022186279297","2.7411022186279297"
"82","162.5","162","163","2.645453929901123","2.645453929901123","2.645453929901123"
"83","164.5","164","165","1.81868577003479","1.81868577003479","1.81868577003479"
"84","166.5","166","167","2.704808235168457","2.704808235168457","2.704808235168457"
"85","168.5","168","169","2.6500656604766846","2.6500656604766846","2.6500656604766846"
"86","170.5","170","171","1.905268669128418","1.905268669128418","1.905268669128418"
"87","172.5","172","173","2.6391561031341553","2.6391561031341553","2.6391561031341553"
"88","174.5","174","175","3.3149378299713135","3.3149378299713135","3.3149378299713135"
"89","176.5","176","177","2.2686336040496826","2.2686336040496826","2.2686336040496826"
"90","178.5","178","179","2.725651264190674","2.725651264190674","2.725651264190674"
"91","180.5","180","181","3.2916500568389893","3.2916500568389893","3.2916500568389893"
"92","182.5","182","183","3.3337106704711914","3.3337106704711914","3.3337106704711914"
"93","184.5","184","185","1.7831674814224243","1.7831674814224243","1.7831674814224243"
"94","186.5","186","187","3.318269968032837","3.318269968032837","3.318269968032837"
"95","188.5","188","189","3.447314977645874","3.447314977645874","3.447314977645874"
"96","190.5","190","191","1.7595723867416382","1.7595723867416382","1.7595723867416382"
"97","192.5","192","193","2.8646252155303955","2.8646252155303955","2.8646252155303955"
"98","194.5","194","195","2.491487503051758","2.491487503051758","2.491487503051758"
"99","196.5","196","197","1.691890835762024","1.691890835762024","1.691890835762024"
"100","198.5","198","199","2.240454912185669","2.240454912185669","2.240454912185669"
"101","200.5","200","201","1.9783849716186523","1.9783849716186523","1.9783849716186523"
"102","202.5","202","203","1.8232494592666626","1.8232494592666626","1.8232494592666626"
"103","204.5","204","205","1.7944563627243042","1.7944563627243042","1.7944563627243042"
