"train/global_step","electric-cosmos-4 - _step","electric-cosmos-4 - _step__MIN","electric-cosmos-4 - _step__MAX","electric-cosmos-4 - train/loss","electric-cosmos-4 - train/loss__MIN","electric-cosmos-4 - train/loss__MAX"
"1","0.5","0","1","6.931","6.931","6.931"
"2","2.5","2","3","7.1374","7.1374","7.1374"
"3","4.5","4","5","6.9917","6.9917","6.9917"
"4","6.5","6","7","7.0369","7.0369","7.0369"
"5","8.5","8","9","6.8241","6.8241","6.8241"
"6","10.5","10","11","6.8385","6.8385","6.8385"
"7","12.5","12","13","6.9135","6.9135","6.9135"
"8","14.5","14","15","6.7079","6.7079","6.7079"
"9","16.5","16","17","6.8245","6.8245","6.8245"
"10","18.5","18","19","6.9308","6.9308","6.9308"
"11","20.5","20","21","6.7548","6.7548","6.7548"
"12","22.5","22","23","6.4163","6.4163","6.4163"
"13","24.5","24","25","6.5331","6.5331","6.5331"
"14","26.5","26","27","6.3051","6.3051","6.3051"
"15","28.5","28","29","6.2106","6.2106","6.2106"
"16","30.5","30","31","6.1586","6.1586","6.1586"
"17","32.5","32","33","5.9313","5.9313","5.9313"
"18","34.5","34","35","6.1421","6.1421","6.1421"
"19","36.5","36","37","5.9272","5.9272","5.9272"
"20","38.5","38","39","5.6356","5.6356","5.6356"
"21","40.5","40","41","5.7735","5.7735","5.7735"
"22","42.5","42","43","5.4017","5.4017","5.4017"
"23","44.5","44","45","5.3111","5.3111","5.3111"
"24","46.5","46","47","5.2172","5.2172","5.2172"
"25","48.5","48","49","5.3449","5.3449","5.3449"
"26","50.5","50","51","5.1345","5.1345","5.1345"
"27","52.5","52","53","5.004","5.004","5.004"
"28","54.5","54","55","4.8089","4.8089","4.8089"
"29","56.5","56","57","5.0409","5.0409","5.0409"
"30","58.5","58","59","5.1695","5.1695","5.1695"
"31","60.5","60","61","4.5804","4.5804","4.5804"
"32","62.5","62","63","4.9689","4.9689","4.9689"
"33","64.5","64","65","4.9455","4.9455","4.9455"
"34","66.5","66","67","4.8212","4.8212","4.8212"
"35","68.5","68","69","4.5695","4.5695","4.5695"
"36","70.5","70","71","4.5618","4.5618","4.5618"
"37","72.5","72","73","4.2956","4.2956","4.2956"
"38","74.5","74","75","4.3592","4.3592","4.3592"
"39","76.5","76","77","4.4796","4.4796","4.4796"
"40","78.5","78","79","4.5754","4.5754","4.5754"
"41","80.5","80","81","4.2106","4.2106","4.2106"
