step_bin,average_gradient_norm,model
0,0.6843807258701418,LN
2000,0.2985206433977466,LN
4000,0.29091935437552785,LN
6000,0.2800016964357611,LN
8000,0.2864602140535719,LN
10000,0.28089554192794064,LN
12000,0.2843222047095416,LN
14000,0.2877979321497502,LN
16000,0.2886471715238359,LN
18000,0.29305172041266075,LN
20000,0.29308865363794057,LN
0,0.6476751211366814,RMSN
2000,0.3025565395649216,RMSN
4000,0.29258475572334053,RMSN
6000,0.6528445306567499,RMSN
8000,0.29256502477849117,RMSN
10000,0.29539285710337715,RMSN
12000,0.2991830365316527,RMSN
14000,0.2996380692575036,RMSN
16000,0.302307137824964,RMSN
18000,0.3016093743056798,RMSN
20000,0.3094623756971331,RMSN
22000,0.30945016549536464,RMSN
0,0.7407871645019419,PNbefore
2000,0.2701905420048366,PNbefore
4000,0.22664075673210332,PNbefore
6000,0.21792052616447524,PNbefore
8000,6.754774863761144,PNbefore
10000,165.84147710201924,PNbefore
12000,1536559.2356886063,PNbefore
14000,1887573731.9465668,PNbefore
16000,28366963679.455685,PNbefore
18000,171237379373.17648,PNbefore
20000,172674086229.33334,PNbefore
0,0.7781597824865266,PNafter
2000,0.2663641363093308,PNafter
4000,0.22586792028776487,PNafter
6000,0.21236331386362164,PNafter
8000,1.4859460348963107,PNafter
10000,2800.699027887496,PNafter
12000,15007703.494137583,PNafter
14000,771452.6907026934,PNafter
16000,15699091.851535343,PNafter
18000,407672912.3054985,PNafter
20000,25026124.980676327,PNafter
22000,24971538.200725514,PNafter
