step_bin,average_loss,model
0,4.717221492576221,LN
2000,3.5225528197669087,LN
4000,3.3422454930070207,LN
6000,3.265581048496495,LN
8000,3.2433597642177325,LN
10000,3.1820368071978087,LN
12000,3.1357635389550467,LN
14000,3.092086159550511,LN
16000,3.063593306319553,LN
18000,3.0504869351020227,LN
20000,3.0504891341473876,LN
0,4.684445602499396,RMSN
2000,3.458582594211285,RMSN
4000,3.300742470462993,RMSN
6000,4.5561891539990285,RMSN
8000,3.265322810545533,RMSN
10000,3.210492867112535,RMSN
12000,3.157679691751883,RMSN
14000,3.1125132329799725,RMSN
16000,3.0674614480032494,RMSN
18000,3.0547393831394984,RMSN
20000,3.044919928600048,RMSN
22000,3.044919928600048,RMSN
0,4.711495250762106,PNbefore
2000,3.480893939673781,PNbefore
4000,3.3249764344496335,PNbefore
6000,3.2739890639433162,PNbefore
8000,3.386597299145792,PNbefore
10000,4.113285130035424,PNbefore
12000,7.5708039549883,PNbefore
14000,7.689244106202899,PNbefore
16000,9.036735664388699,PNbefore
18000,9.706591721737023,PNbefore
20000,9.706772965651291,PNbefore
0,4.722258811312189,PNafter
2000,3.480234340280934,PNafter
4000,3.3222750139185124,PNafter
6000,3.2797040252362266,PNafter
8000,3.2874102379312578,PNafter
10000,5.2361926114038555,PNafter
12000,7.8264501432447915,PNafter
14000,8.906929550986542,PNafter
16000,9.678601647471334,PNafter
18000,9.78835163137814,PNafter
20000,9.942927552564111,PNafter
22000,9.943097600580478,PNafter
