"Step","prime-snowball-26 - tok per sec","prime-snowball-26 - tok per sec__MIN","prime-snowball-26 - tok per sec__MAX"
"1","6300.800771309952","6300.800771309952","6300.800771309952"
"2","837822.7261876459","837822.7261876459","837822.7261876459"
"3","1145991.515662587","1145991.515662587","1145991.515662587"
"4","1138728.6845183559","1138728.6845183559","1138728.6845183559"
"5","1137548.9909348805","1137548.9909348805","1137548.9909348805"
"6","1147699.7130617527","1147699.7130617527","1147699.7130617527"
"11","1147363.5729494288","1147363.5729494288","1147363.5729494288"
"14","1149029.434255032","1149029.434255032","1149029.434255032"
"18","1149624.5273390613","1149624.5273390613","1149624.5273390613"
"19","1152639.067683676","1152639.067683676","1152639.067683676"
"21","1141589.8692984271","1141589.8692984271","1141589.8692984271"
"24","1146235.2324791362","1146235.2324791362","1146235.2324791362"
"27","1142733.6224906722","1142733.6224906722","1142733.6224906722"
"29","1147328.453280556","1147328.453280556","1147328.453280556"
"35","1137964.9817975827","1137964.9817975827","1137964.9817975827"
"36","1136846.4221779383","1136846.4221779383","1136846.4221779383"
"38","1134827.458277599","1134827.458277599","1134827.458277599"
"42","1102353.4950863326","1102353.4950863326","1102353.4950863326"
"47","1104887.2726532153","1104887.2726532153","1104887.2726532153"
"49","1099392.1604945597","1099392.1604945597","1099392.1604945597"
"50","1102109.667632499","1102109.667632499","1102109.667632499"
"52","1106918.3876807678","1106918.3876807678","1106918.3876807678"
"57","1101698.1313339875","1101698.1313339875","1101698.1313339875"
"58","1094490.833492492","1094490.833492492","1094490.833492492"
"59","1128445.7285532579","1128445.7285532579","1128445.7285532579"
"60","1102559.1011315275","1102559.1011315275","1102559.1011315275"
"61","1097642.708124966","1097642.708124966","1097642.708124966"
"63","1089756.8509508553","1089756.8509508553","1089756.8509508553"
"69","1095336.9336097022","1095336.9336097022","1095336.9336097022"
"70","1079287.9305336603","1079287.9305336603","1079287.9305336603"
"71","1106806.218627568","1106806.218627568","1106806.218627568"
"75","1080881.553322926","1080881.553322926","1080881.553322926"
"76","1088304.2703994268","1088304.2703994268","1088304.2703994268"
"77","1096636.2475349633","1096636.2475349633","1096636.2475349633"
"79","1043454.471046145","1043454.471046145","1043454.471046145"
"80","1065007.514326839","1065007.514326839","1065007.514326839"
"81","1067957.7481491843","1067957.7481491843","1067957.7481491843"
"83","1072044.4203344705","1072044.4203344705","1072044.4203344705"
"84","1091692.923061037","1091692.923061037","1091692.923061037"
"85","1092036.2754583955","1092036.2754583955","1092036.2754583955"
"86","1057499.2957542741","1057499.2957542741","1057499.2957542741"
"89","1060637.836870899","1060637.836870899","1060637.836870899"
"91","1078290.8635807312","1078290.8635807312","1078290.8635807312"
"92","1048654.0058025862","1048654.0058025862","1048654.0058025862"
"93","1085622.1776353335","1085622.1776353335","1085622.1776353335"
"95","1056059.6994233273","1056059.6994233273","1056059.6994233273"
"96","1061338.125632018","1061338.125632018","1061338.125632018"
"98","1065466.4239752444","1065466.4239752444","1065466.4239752444"
"100","1056251.7798792648","1056251.7798792648","1056251.7798792648"
"101","1073523.764485339","1073523.764485339","1073523.764485339"
"103","1048996.8354970287","1048996.8354970287","1048996.8354970287"
"104","1066144.8478543193","1066144.8478543193","1066144.8478543193"
"105","1021417.4539702791","1021417.4539702791","1021417.4539702791"
"107","1056638.8583129067","1056638.8583129067","1056638.8583129067"
"110","1071071.119320964","1071071.119320964","1071071.119320964"
"112","1059067.2611619083","1059067.2611619083","1059067.2611619083"
"113","1046918.6237912241","1046918.6237912241","1046918.6237912241"
"117","1042266.8577267858","1042266.8577267858","1042266.8577267858"
"119","1047051.5528411826","1047051.5528411826","1047051.5528411826"
"121","1063656.4770393225","1063656.4770393225","1063656.4770393225"
"122","1044498.5837046645","1044498.5837046645","1044498.5837046645"
"123","1048566.0000953665","1048566.0000953665","1048566.0000953665"
"125","1045356.5816133277","1045356.5816133277","1045356.5816133277"
"126","1041674.393216635","1041674.393216635","1041674.393216635"
"130","1075608.0319460523","1075608.0319460523","1075608.0319460523"
"135","1104007.8838844334","1104007.8838844334","1104007.8838844334"
"137","1058806.177227867","1058806.177227867","1058806.177227867"
"138","1047743.9940233007","1047743.9940233007","1047743.9940233007"
"141","1062777.7767020697","1062777.7767020697","1062777.7767020697"
"143","1075753.9601507247","1075753.9601507247","1075753.9601507247"
"145","1041473.1086903121","1041473.1086903121","1041473.1086903121"
"146","1051608.746170444","1051608.746170444","1051608.746170444"
"149","1044229.4258201317","1044229.4258201317","1044229.4258201317"
"150","1042283.3246947597","1042283.3246947597","1042283.3246947597"
"154","1067222.4566104326","1067222.4566104326","1067222.4566104326"
"155","1045047.2486663393","1045047.2486663393","1045047.2486663393"
"160","1059317.5874495397","1059317.5874495397","1059317.5874495397"
"161","1056058.3469917784","1056058.3469917784","1056058.3469917784"
"163","1058059.6713451538","1058059.6713451538","1058059.6713451538"
"164","1088235.3332528342","1088235.3332528342","1088235.3332528342"
"166","1056954.4152022947","1056954.4152022947","1056954.4152022947"
"169","1080077.4344717385","1080077.4344717385","1080077.4344717385"
"172","1043383.1775349025","1043383.1775349025","1043383.1775349025"
"175","1044373.5766711226","1044373.5766711226","1044373.5766711226"
"176","1040909.1372862111","1040909.1372862111","1040909.1372862111"
"177","1036261.0185654793","1036261.0185654793","1036261.0185654793"
