"Relative Time (Process)","denim-lake-75 - system/gpu.process.0.memory","denim-lake-75 - system/gpu.process.0.memory__MIN","denim-lake-75 - system/gpu.process.0.memory__MAX"
"61.132072","4.73","4.73","4.73"
"91.132639","58.2","58.2","58.2"
"121.133184","69.13","69.13","69.13"
"151.133758","69.07","69.07","69.07"
"181.134467","70.07","70.07","70.07"
"211.135385","69.2","69.2","69.2"
"241.136344","69.47","69.47","69.47"
"271.137136","69.87","69.87","69.87"
"301.137731","61.4","61.4","61.4"
"331.138298","60.87","60.87","60.87"
"361.139027","69.87","69.87","69.87"
"391.140132","67.4","67.4","67.4"
"421.140764","71.67","71.67","71.67"
"451.14156","71.07","71.07","71.07"
"481.14247","70.67","70.67","70.67"
"511.143326","70.13","70.13","70.13"
"541.144087","67.27","67.27","67.27"
"571.144791","70.27","70.27","70.27"
"601.145545","67.73","67.73","67.73"
"631.146267","70.93","70.93","70.93"
"661.146974","69.87","69.87","69.87"
"691.147559","66.67","66.67","66.67"
"721.148099","67.27","67.27","67.27"
"751.148667","69.33","69.33","69.33"
"781.14954","66.67","66.67","66.67"
"811.150458","64.27","64.27","64.27"
"841.151145","71.67","71.67","71.67"
"871.151684","72.27","72.27","72.27"
"901.152228","66.4","66.4","66.4"
"931.152754","69.27","69.27","69.27"
"961.153297","71.4","71.4","71.4"
"991.153886","69.2","69.2","69.2"
"1021.154698","32.8","32.8","32.8"
"1051.155276","0","0","0"
"1081.155996","0","0","0"
"1111.156743","41.67","41.67","41.67"
"1141.15728","72.8","72.8","72.8"
"1171.157821","71.8","71.8","71.8"
"1201.158359","69.47","69.47","69.47"
"1231.158923","69.13","69.13","69.13"
"1261.159475","71.93","71.93","71.93"
"1291.160154","70.93","70.93","70.93"
"1321.160922","69.4","69.4","69.4"
"1351.161469","70.13","70.13","70.13"
"1381.162019","70.33","70.33","70.33"
"1411.162579","71","71","71"
"1441.163334","66.6","66.6","66.6"
"1471.164037","69","69","69"
"1501.164606","61.93","61.93","61.93"
"1531.165148","71.13","71.13","71.13"
"1561.165699","67.4","67.4","67.4"
"1591.166448","66.47","66.47","66.47"
"1621.167168","70.53","70.53","70.53"
"1651.167725","69.2","69.2","69.2"
"1681.168504","69.27","69.27","69.27"
"1711.169269","70.73","70.73","70.73"
"1741.16984","69.13","69.13","69.13"
"1771.170389","71.6","71.6","71.6"
"1801.170969","69.8","69.8","69.8"
"1831.171779","70.73","70.73","70.73"
"1861.172523","71","71","71"
"1891.173079","66.8","66.8","66.8"
"1921.173683","72.6","72.6","72.6"
"1951.174645","69.47","69.47","69.47"
"1981.175447","68.67","68.67","68.67"
"2011.176077","70.33","70.33","70.33"
"2041.176617","27.33","27.33","27.33"
"2071.177145","5.2","5.2","5.2"
"2101.177908","68.93","68.93","68.93"
"2131.178732","70.8","70.8","70.8"
"2161.179512","69.73","69.73","69.73"
"2191.180293","72.13","72.13","72.13"
"2221.181007","68.8","68.8","68.8"
"2251.181771","67.13","67.13","67.13"
"2281.182488","69.07","69.07","69.07"
"2311.183222","68.13","68.13","68.13"
"2341.184072","69.07","69.07","69.07"
"2371.184621","68.33","68.33","68.33"
"2401.185399","71.13","71.13","71.13"
"2431.186185","69.8","69.8","69.8"
"2461.186956","70","70","70"
"2491.187536","71.87","71.87","71.87"
"2521.188334","70.47","70.47","70.47"
"2551.189303","66.27","66.27","66.27"
"2581.190127","71.13","71.13","71.13"
"2611.190663","70.53","70.53","70.53"
"2641.191202","66.13","66.13","66.13"
"2671.191791","69.8","69.8","69.8"
"2701.192747","70.2","70.2","70.2"
"2731.193526","69","69","69"
"2761.194144","66.07","66.07","66.07"
"2791.194707","65.93","65.93","65.93"
"2821.195278","69.2","69.2","69.2"
"2851.195849","64.07","64.07","64.07"
"2881.196576","69.53","69.53","69.53"
"2911.197306","69.2","69.2","69.2"
"2941.198091","68.13","68.13","68.13"
"2971.198944","69.2","69.2","69.2"
"3001.199508","62.13","62.13","62.13"
"3031.200263","0","0","0"
"3061.200964","50.87","50.87","50.87"
"3091.201765","69","69","69"
"3121.20269","70.33","70.33","70.33"
"3151.203451","68.6","68.6","68.6"
"3181.204137","70.33","70.33","70.33"
"3211.204876","69.4","69.4","69.4"
"3241.205493","68.8","68.8","68.8"
"3271.206309","70.07","70.07","70.07"
"3301.207125","69.27","69.27","69.27"
"3331.207672","71.47","71.47","71.47"
"3361.20841","70.47","70.47","70.47"
"3391.209152","64.4","64.4","64.4"
"3421.209745","70.67","70.67","70.67"
"3451.210316","68.53","68.53","68.53"
"3481.211047","69.2","69.2","69.2"
"3511.211785","66.33","66.33","66.33"
"3541.212445","68.47","68.47","68.47"
"3571.213139","69.53","69.53","69.53"
"3601.213749","64.47","64.47","64.47"
"3631.214299","69.4","69.4","69.4"
"3661.215017","69.27","69.27","69.27"
"3691.215742","65","65","65"
"3721.216288","69.87","69.87","69.87"
"3751.21686","69.73","69.73","69.73"
"3781.217399","69.4","69.4","69.4"
"3811.218137","64.6","64.6","64.6"
"3841.218897","69.13","69.13","69.13"
"3871.219549","70.07","70.07","70.07"
"3901.220172","71.27","71.27","71.27"
"3931.220772","69.27","69.27","69.27"
"3961.221346","69.53","69.53","69.53"
"3991.22189","19.13","19.13","19.13"
"4021.222458","9.13","9.13","9.13"
"4051.223157","68.13","68.13","68.13"
"4081.223835","72.2","72.2","72.2"
"4111.224637","70.4","70.4","70.4"
"4141.225364","67.53","67.53","67.53"
"4171.225911","69.33","69.33","69.33"
"4201.226786","69.47","69.47","69.47"
"4231.227781","69.07","69.07","69.07"
"4261.228341","65.27","65.27","65.27"
"4291.228862","69.67","69.67","69.67"
"4321.22964","70.33","70.33","70.33"
"4351.230381","66","66","66"
"4381.231103","70.33","70.33","70.33"
"4411.231658","69.4","69.4","69.4"
"4441.232304","68.53","68.53","68.53"
"4471.233047","63.8","63.8","63.8"
"4501.23377","70","70","70"
"4531.234563","70","70","70"
"4561.235135","69.4","69.4","69.4"
"4591.235657","70.07","70.07","70.07"
"4621.236186","70.27","70.27","70.27"
"4651.236722","67.67","67.67","67.67"
"4681.237235","70.6","70.6","70.6"
"4711.237763","70.33","70.33","70.33"
"4741.238345","70","70","70"
"4771.238888","69.07","69.07","69.07"
"4801.239451","68.73","68.73","68.73"
