"Step","denim-lake-75 - tok per sec","denim-lake-75 - tok per sec__MIN","denim-lake-75 - tok per sec__MAX"
"1","15057.076317959643","15057.076317959643","15057.076317959643"
"2","482186.1099311308","482186.1099311308","482186.1099311308"
"7","1004409.0165563588","1004409.0165563588","1004409.0165563588"
"10","1007752.5874649029","1007752.5874649029","1007752.5874649029"
"14","1006994.7082385204","1006994.7082385204","1006994.7082385204"
"16","1008168.6661416622","1008168.6661416622","1008168.6661416622"
"20","1004413.2110074119","1004413.2110074119","1004413.2110074119"
"21","1006558.0087810844","1006558.0087810844","1006558.0087810844"
"22","1004239.1707239422","1004239.1707239422","1004239.1707239422"
"26","1004245.9844197056","1004245.9844197056","1004245.9844197056"
"28","1004596.7525406703","1004596.7525406703","1004596.7525406703"
"30","1006697.0372214331","1006697.0372214331","1006697.0372214331"
"32","1006457.4477497647","1006457.4477497647","1006457.4477497647"
"33","1004166.8464226127","1004166.8464226127","1004166.8464226127"
"34","1006269.0157445149","1006269.0157445149","1006269.0157445149"
"35","1006710.2047841282","1006710.2047841282","1006710.2047841282"
"40","1004003.3690054595","1004003.3690054595","1004003.3690054595"
"41","1005034.3762691909","1005034.3762691909","1005034.3762691909"
"42","1004259.0879406676","1004259.0879406676","1004259.0879406676"
"43","1005975.9810572929","1005975.9810572929","1005975.9810572929"
"44","1005894.9926043027","1005894.9926043027","1005894.9926043027"
"45","1004695.8928628119","1004695.8928628119","1004695.8928628119"
"47","1005196.6142520262","1005196.6142520262","1005196.6142520262"
"48","1005712.5534220914","1005712.5534220914","1005712.5534220914"
"52","1005114.1761104915","1005114.1761104915","1005114.1761104915"
"53","1004904.7285489416","1004904.7285489416","1004904.7285489416"
"54","1007749.9484682729","1007749.9484682729","1007749.9484682729"
"55","1006024.3699924136","1006024.3699924136","1006024.3699924136"
"58","1006852.963272004","1006852.963272004","1006852.963272004"
"62","1005904.4581140925","1005904.4581140925","1005904.4581140925"
"65","1006214.2889457616","1006214.2889457616","1006214.2889457616"
"67","1006377.9608410466","1006377.9608410466","1006377.9608410466"
"68","1004131.2121922798","1004131.2121922798","1004131.2121922798"
"69","1005098.9501625588","1005098.9501625588","1005098.9501625588"
"70","1005264.8853687539","1005264.8853687539","1005264.8853687539"
"72","1002874.105864025","1002874.105864025","1002874.105864025"
"74","1003693.8509136889","1003693.8509136889","1003693.8509136889"
"75","1005032.801399836","1005032.801399836","1005032.801399836"
"80","1005353.1263953184","1005353.1263953184","1005353.1263953184"
"82","1004772.4908475482","1004772.4908475482","1004772.4908475482"
"85","1004674.9091516673","1004674.9091516673","1004674.9091516673"
"86","1005980.7145520535","1005980.7145520535","1005980.7145520535"
"89","1004376.5107484702","1004376.5107484702","1004376.5107484702"
"91","1006162.7249095358","1006162.7249095358","1006162.7249095358"
"92","1005688.3733686239","1005688.3733686239","1005688.3733686239"
"96","1007341.5983942387","1007341.5983942387","1007341.5983942387"
"100","1005832.4195488942","1005832.4195488942","1005832.4195488942"
"101","1005493.9239143158","1005493.9239143158","1005493.9239143158"
"103","1007431.7867882474","1007431.7867882474","1007431.7867882474"
"105","1007956.3597336137","1007956.3597336137","1007956.3597336137"
"107","1006451.1304500651","1006451.1304500651","1006451.1304500651"
"117","1004795.0527545441","1004795.0527545441","1004795.0527545441"
"119","1005007.6041613782","1005007.6041613782","1005007.6041613782"
"120","1006156.9374394404","1006156.9374394404","1006156.9374394404"
"128","1005030.7015817069","1005030.7015817069","1005030.7015817069"
"129","1004423.1729690678","1004423.1729690678","1004423.1729690678"
"132","1006106.4314354182","1006106.4314354182","1006106.4314354182"
"133","1004695.3682593505","1004695.3682593505","1004695.3682593505"
"134","1005718.3357810585","1005718.3357810585","1005718.3357810585"
"135","1004437.329780831","1004437.329780831","1004437.329780831"
