"Relative Time (Process)","sleek-thunder-73 - system/gpu.process.0.memory","sleek-thunder-73 - system/gpu.process.0.memory__MIN","sleek-thunder-73 - system/gpu.process.0.memory__MAX"
"60.235704","6.87","6.87","6.87"
"90.236474","51.2","51.2","51.2"
"120.23709","68.6","68.6","68.6"
"150.23767","67.93","67.93","67.93"
"180.238226","69.53","69.53","69.53"
"210.238782","71.4","71.4","71.4"
"240.23937","68","68","68"
"270.240005","68.93","68.93","68.93"
"300.240641","67.53","67.53","67.53"
"330.241326","46.87","46.87","46.87"
"360.242019","61.67","61.67","61.67"
"390.242664","68.07","68.07","68.07"
"420.24336","70.73","70.73","70.73"
"450.244284","65.6","65.6","65.6"
"480.245463","67.87","67.87","67.87"
"510.246416","52.73","52.73","52.73"
"540.24716","65.53","65.53","65.53"
"570.247874","74.93","74.93","74.93"
"600.248473","74.47","74.47","74.47"
"630.249083","68.87","68.87","68.87"
"660.249675","68.4","68.4","68.4"
"690.250244","68.47","68.47","68.47"
"720.250809","66.73","66.73","66.73"
"750.251391","70.2","70.2","70.2"
"780.251966","67.73","67.73","67.73"
"810.252569","69.73","69.73","69.73"
"840.25318","65.87","65.87","65.87"
"870.253832","66.33","66.33","66.33"
"900.254491","62","62","62"
"930.255108","65.53","65.53","65.53"
"960.255715","66.93","66.93","66.93"
"990.256342","67.27","67.27","67.27"
"1020.256952","69.07","69.07","69.07"
"1050.257555","69.4","69.4","69.4"
"1080.258154","40.07","40.07","40.07"
"1110.258684","0","0","0"
"1140.259386","33.4","33.4","33.4"
"1170.26013","66.53","66.53","66.53"
"1200.26068","69.87","69.87","69.87"
"1230.261253","62.73","62.73","62.73"
"1260.261852","70.93","70.93","70.93"
"1290.262481","66.73","66.73","66.73"
"1320.263282","69.2","69.2","69.2"
"1350.263858","67.6","67.6","67.6"
"1380.264446","68.6","68.6","68.6"
"1410.265005","68.67","68.67","68.67"
"1440.265539","68.6","68.6","68.6"
"1470.266105","67.93","67.93","67.93"
"1500.266662","68.6","68.6","68.6"
"1530.267303","67.73","67.73","67.73"
"1560.267963","69.73","69.73","69.73"
"1590.268668","66","66","66"
"1620.269435","65.73","65.73","65.73"
"1650.270018","63.8","63.8","63.8"
"1680.270577","68","68","68"
"1710.271143","68.13","68.13","68.13"
"1740.271735","68.6","68.6","68.6"
"1770.272313","68","68","68"
"1800.272854","68.8","68.8","68.8"
"1830.273433","66.73","66.73","66.73"
"1860.274041","64.33","64.33","64.33"
"1890.274638","63.4","63.4","63.4"
"1920.27524","67.73","67.73","67.73"
"1950.275813","69","69","69"
"1980.276379","68.07","68.07","68.07"
"2010.276933","68.07","68.07","68.07"
"2040.277503","71.07","71.07","71.07"
"2070.278065","68.13","68.13","68.13"
"2100.278647","67.27","67.27","67.27"
"2130.279247","40.13","40.13","40.13"
"2160.279841","0","0","0"
"2190.280384","66.73","66.73","66.73"
"2220.280928","71.33","71.33","71.33"
"2250.281508","66.6","66.6","66.6"
"2280.282103","67.8","67.8","67.8"
"2310.282664","68.4","68.4","68.4"
"2340.283264","67.87","67.87","67.87"
"2370.283833","69.13","69.13","69.13"
"2400.284406","67.4","67.4","67.4"
"2430.284977","68.8","68.8","68.8"
"2460.285755","61.47","61.47","61.47"
"2490.286519","68.4","68.4","68.4"
"2520.287069","66.87","66.87","66.87"
"2550.287891","59.93","59.93","59.93"
"2580.288696","68.27","68.27","68.27"
"2610.289352","69.6","69.6","69.6"
"2640.289947","67.8","67.8","67.8"
"2670.290534","69.27","69.27","69.27"
"2700.291115","70.13","70.13","70.13"
"2730.291692","66.93","66.93","66.93"
"2760.29225","67.47","67.47","67.47"
"2790.292847","64.33","64.33","64.33"
"2820.293616","64.27","64.27","64.27"
"2850.294356","68.8","68.8","68.8"
"2880.294914","64.6","64.6","64.6"
"2910.295616","71.07","71.07","71.07"
"2940.296396","68.33","68.33","68.33"
