"Step","rosy-aardvark-2 - train/loss","rosy-aardvark-2 - train/loss__MIN","rosy-aardvark-2 - train/loss__MAX"
"0","6.3075","6.3075","6.3075"
"1","6.3075","6.3075","6.3075"
"2","6.2538","6.2538","6.2538"
"3","6.2538","6.2538","6.2538"
"4","6.3441","6.3441","6.3441"
"5","6.3441","6.3441","6.3441"
"6","6.2405","6.2405","6.2405"
"7","6.2405","6.2405","6.2405"
"8","6.2727","6.2727","6.2727"
"9","6.2727","6.2727","6.2727"
"10","6.2087","6.2087","6.2087"
"11","6.2087","6.2087","6.2087"
"12","6.1618","6.1618","6.1618"
"13","6.1618","6.1618","6.1618"
"14","6.2246","6.2246","6.2246"
"15","6.2246","6.2246","6.2246"
"16","6.2267","6.2267","6.2267"
"17","6.2267","6.2267","6.2267"
"18","6.1551","6.1551","6.1551"
"19","6.1551","6.1551","6.1551"
"20","6.145","6.145","6.145"
"21","6.145","6.145","6.145"
"22","6.0951","6.0951","6.0951"
"23","6.0951","6.0951","6.0951"
"24","6.045","6.045","6.045"
"25","6.045","6.045","6.045"
"26","5.9395","5.9395","5.9395"
"27","5.9395","5.9395","5.9395"
"28","5.9026","5.9026","5.9026"
"29","5.9026","5.9026","5.9026"
"30","5.8076","5.8076","5.8076"
"31","5.8076","5.8076","5.8076"
"32","5.7847","5.7847","5.7847"
"33","5.7847","5.7847","5.7847"
"34","5.6305","5.6305","5.6305"
"35","5.6305","5.6305","5.6305"
"36","5.6495","5.6495","5.6495"
"37","5.6495","5.6495","5.6495"
"38","5.5778","5.5778","5.5778"
"39","5.5778","5.5778","5.5778"
"40","5.4503","5.4503","5.4503"
"41","5.4503","5.4503","5.4503"
"42","5.4514","5.4514","5.4514"
"43","5.4514","5.4514","5.4514"
"44","5.2356","5.2356","5.2356"
"45","5.2356","5.2356","5.2356"
"46","5.4262","5.4262","5.4262"
"47","5.4262","5.4262","5.4262"
"48","5.2426","5.2426","5.2426"
"49","5.2426","5.2426","5.2426"
"50","5.0574","5.0574","5.0574"
"51","5.0574","5.0574","5.0574"
"52","4.8413","4.8413","4.8413"
"53","4.8413","4.8413","4.8413"
"54","4.809","4.809","4.809"
"55","4.809","4.809","4.809"
"56","4.7112","4.7112","4.7112"
"57","4.7112","4.7112","4.7112"
"58","4.7468","4.7468","4.7468"
"59","4.7468","4.7468","4.7468"
"60","4.6409","4.6409","4.6409"
"61","4.6409","4.6409","4.6409"
"62","4.7104","4.7104","4.7104"
"63","4.7104","4.7104","4.7104"
"64","4.1922","4.1922","4.1922"
"65","4.1922","4.1922","4.1922"
"66","4.7353","4.7353","4.7353"
"67","4.7353","4.7353","4.7353"
"68","4.2603","4.2603","4.2603"
"69","4.2603","4.2603","4.2603"
"70","4.3498","4.3498","4.3498"
"71","4.3498","4.3498","4.3498"
"72","4.0977","4.0977","4.0977"
"73","4.0977","4.0977","4.0977"
"74","4.3574","4.3574","4.3574"
"75","4.3574","4.3574","4.3574"
"76","4.554","4.554","4.554"
"77","4.554","4.554","4.554"
"78","4.4232","4.4232","4.4232"
"79","4.4232","4.4232","4.4232"
"80","3.9559","3.9559","3.9559"
"81","3.9559","3.9559","3.9559"
"82","4.1406","4.1406","4.1406"
"83","4.1406","4.1406","4.1406"
"84","4.6873","4.6873","4.6873"
"85","4.6873","4.6873","4.6873"
"86","4.144","4.144","4.144"
"87","4.144","4.144","4.144"
